"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"NYY","542.1","9.11","2.39","0.80",".269","78.8%","2.85","3.19","3.43","1.06"
"HOU","529.1","8.42","2.92","0.88",".262","76.2%","3.03","3.69","3.98","1.13"
"LAD","532.1","9.05","2.62","0.96",".267","76.9%","3.06","3.55","3.67","1.10"
"TBR","539.0","8.70","2.55","1.09",".270","73.9%","3.26","3.75","3.72","1.14"
"SDP","549.2","8.99","3.06","0.82",".268","74.0%","3.31","3.48","3.70","1.13"
"BOS","545.1","8.76","2.95","1.11",".270","73.8%","3.61","3.92","3.91","1.17"
"TOR","521.1","8.36","2.55","0.97",".290","73.5%","3.64","3.64","3.81","1.20"
"CLE","494.0","8.44","2.88","1.13",".264","72.5%","3.66","4.01","3.98","1.16"
"ATL","545.1","9.49","3.48","0.79",".291","70.6%","3.70","3.45","3.74","1.24"
"DET","516.0","7.99","3.02","1.03",".269","72.0%","3.72","3.92","4.08","1.19"
"MIL","548.1","9.60","3.28","1.07",".291","72.2%","3.73","3.74","3.55","1.25"
"MIA","510.2","9.06","3.35","1.11",".283","73.7%","3.79","3.99","3.83","1.25"
"STL","541.2","7.38","3.27","1.00",".286","75.5%","3.87","4.18","4.19","1.30"
"MIN","548.0","8.46","3.02","1.17",".285","74.7%","3.88","4.05","4.01","1.26"
"NYM","549.2","9.28","2.98","1.08",".290","73.9%","3.88","3.76","3.70","1.22"
"TEX","526.2","8.63","3.61","0.97",".287","72.4%","3.90","3.98","3.91","1.29"
"LAA","548.1","7.98","3.15","1.10",".271","71.9%","3.94","4.12","4.06","1.23"
"PHI","534.0","9.15","3.29","0.84",".302","70.3%","3.94","3.59","3.78","1.28"
"SFG","525.2","8.41","2.74","0.82",".310","69.7%","4.06","3.45","3.65","1.29"
"SEA","526.2","8.42","3.11","1.40",".279","74.7%","4.07","4.44","4.14","1.26"
"CHW","522.0","9.45","4.05","1.07",".306","70.0%","4.17","4.01","3.99","1.39"
"BAL","541.1","7.00","3.11","1.15",".292","71.5%","4.22","4.43","4.34","1.34"
"ARI","543.2","7.30","3.21","1.18",".288","71.2%","4.27","4.40","4.44","1.34"
"OAK","544.1","7.69","3.14","1.07",".293","70.4%","4.41","4.16","4.19","1.32"
"PIT","508.0","8.27","3.72","1.08",".290","67.5%","4.48","4.23","4.28","1.36"
"CHC","526.0","8.71","3.37","1.42",".291","70.1%","4.59","4.48","3.93","1.32"
"COL","540.0","7.40","3.35","1.02",".317","64.9%","5.02","4.20","4.29","1.45"
"KCR","518.0","7.12","4.07","1.15",".308","68.5%","5.18","4.68","4.69","1.52"
"CIN","517.2","9.08","4.12","1.37",".297","68.4%","5.30","4.69","4.41","1.42"
"WSN","541.0","7.87","3.81","1.26",".317","67.9%","5.32","4.65","4.42","1.50"
