"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Dodgers","6","1","1","29","7","65.0","10.38","2.08","0.97",".222","74.2 %","39.9 %","12.1 %","2.22","3.01","3.34","1.8"
"Mariners","4","3","2","29","7","63.0","8.71","3.29","1.14",".313","63.3 %","43.8 %","13.1 %","5.43","4.04","4.26","1.6"
"Athletics","5","2","2","26","7","63.0","7.43","2.43","0.71",".258","71.2 %","42.5 %","8.3 %","3.43","3.61","4.42","1.5"
"Twins","3","4","2","28","7","70.0","6.81","2.70","0.64",".313","69.7 %","42.4 %","7.8 %","4.11","3.67","4.51","1.5"
"Cardinals","4","3","1","34","7","67.0","8.19","2.15","0.81",".299","79.3 %","52.7 %","11.8 %","2.82","3.33","3.64","1.4"
"Marlins","5","2","4","32","7","65.2","8.77","3.43","0.82",".264","82.2 %","39.5 %","8.0 %","2.74","3.65","4.68","1.3"
"Pirates","4","1","3","24","5","47.0","10.53","4.21","0.77",".317","66.2 %","39.3 %","7.8 %","4.60","3.42","4.41","1.1"
"Red Sox","3","3","1","29","6","62.1","9.82","3.75","1.01",".317","78.3 %","41.3 %","10.9 %","3.61","3.86","4.38","1.0"
"Yankees","6","1","4","26","7","63.0","8.57","3.43","1.43",".281","84.1 %","46.6 %","16.1 %","3.57","4.53","4.37","1.0"
"Indians","5","2","2","32","7","61.0","9.30","2.95","1.48",".292","79.7 %","35.9 %","16.1 %","3.84","4.28","4.12","0.9"
"Rangers","4","3","3","24","7","64.0","7.73","2.67","1.69",".303","70.6 %","45.4 %","16.7 %","4.64","4.89","4.63","0.9"
"Astros","1","6","0","25","7","57.2","11.24","2.97","2.03",".312","71.4 %","41.9 %","22.8 %","5.15","4.71","3.69","0.7"
"Tigers","1","4","1","21","5","41.0","8.56","2.41","1.54",".328","62.5 %","46.1 %","14.9 %","6.15","4.52","4.52","0.6"
"Rockies","3","3","1","25","6","55.2","8.25","3.40","1.29",".294","80.8 %","44.5 %","15.4 %","3.56","4.46","4.40","0.6"
"Royals","4","3","3","24","7","63.0","8.00","2.29","1.57",".283","83.3 %","36.6 %","14.7 %","3.71","4.77","4.80","0.5"
"Brewers","2","5","1","26","7","60.0","10.80","3.45","1.65",".340","67.0 %","41.6 %","18.6 %","6.30","4.77","4.29","0.5"
"Mets","3","4","1","24","7","59.0","8.69","3.81","1.53",".307","65.8 %","44.8 %","15.9 %","5.34","4.78","4.64","0.5"
"Reds","5","2","2","31","7","61.0","9.44","4.87","1.33",".276","79.3 %","38.5 %","15.0 %","3.84","4.77","4.76","0.5"
"Diamondbacks","1","5","0","24","6","56.0","7.55","3.38","1.29",".309","58.1 %","45.0 %","15.1 %","6.27","4.54","4.51","0.5"
"White Sox","2","3","2","24","5","43.0","9.42","2.51","2.09",".348","77.1 %","39.8 %","23.3 %","4.81","4.95","3.86","0.5"
"Blue Jays","3","4","1","36","7","64.2","7.93","2.92","1.67",".328","68.1 %","46.6 %","17.6 %","5.71","4.99","4.62","0.4"
"Padres","3","3","3","24","6","53.2","6.20","3.69","0.67",".284","68.7 %","50.3 %","8.2 %","4.02","4.11","4.91","0.4"
"Nationals","4","2","3","28","6","55.0","8.67","3.76","1.47",".269","77.8 %","39.7 %","15.0 %","4.25","4.75","4.73","0.4"
"Braves","4","2","1","29","6","54.0","7.83","3.83","1.17",".333","72.2 %","42.6 %","13.5 %","4.83","4.57","4.75","0.3"
"Angels","4","3","1","32","7","61.0","8.11","3.69","1.92",".238","76.5 %","39.7 %","17.8 %","4.43","5.38","4.93","0.2"
"Phillies","0","6","0","24","6","51.0","7.41","3.35","2.12",".277","79.3 %","45.0 %","22.2 %","4.59","5.77","4.76","0.1"
"Cubs","3","3","2","24","6","54.0","8.17","3.00","2.00",".270","79.0 %","49.3 %","24.5 %","4.17","5.37","4.24","0.0"
"Rays","2","5","1","34","7","58.2","7.52","3.84","1.69",".286","72.6 %","49.2 %","20.0 %","5.22","5.38","4.76","-0.1"
"Giants","3","4","2","31","7","60.1","7.31","3.58","1.64",".328","69.7 %","38.2 %","17.7 %","6.12","5.27","4.89","-0.2"
"Orioles","1","6","0","28","7","57.0","8.05","4.58","2.37",".322","55.8 %","35.4 %","18.3 %","8.37","6.60","5.97","-0.2"
