"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","54","40","21","414","94","855.1","9.59","2.85","0.97",".282","75.4 %","45.6 %","12.4 %","3.37","3.53","3.84","15.5"
"Nationals","49","42","24","388","91","806.1","9.71","3.14","1.14",".306","71.3 %","43.0 %","12.6 %","4.32","3.90","4.23","13.8"
"Dodgers","61","33","26","378","94","835.1","9.06","2.20","1.22",".266","74.0 %","45.5 %","14.6 %","3.44","3.80","3.86","13.2"
"Twins","58","33","27","376","91","825.0","8.71","2.83","1.22",".290","73.6 %","41.5 %","13.4 %","3.92","4.12","4.35","13.2"
"Yankees","58","32","31","383","90","803.2","9.34","3.01","1.46",".294","76.0 %","44.2 %","16.1 %","4.07","4.32","4.20","12.3"
"Athletics","52","41","22","411","94","850.2","7.77","3.13","1.10",".277","73.4 %","41.0 %","10.8 %","4.01","4.25","4.88","12.0"
"Indians","50","40","24","383","90","793.1","9.65","2.86","1.36",".289","74.9 %","40.6 %","14.6 %","3.95","4.13","4.20","11.6"
"Reds","42","47","22","393","89","790.0","9.75","3.38","1.23",".290","76.9 %","44.6 %","15.6 %","3.82","4.06","4.00","11.1"
"Astros","58","35","24","363","93","838.1","10.06","2.83","1.57",".264","76.6 %","43.2 %","17.9 %","3.92","4.27","3.92","10.9"
"Red Sox","50","42","18","417","92","834.1","10.12","3.38","1.31",".312","70.5 %","42.0 %","14.1 %","4.62","4.13","4.26","10.9"
"Rangers","50","43","21","372","93","832.0","8.53","3.50","1.44",".312","72.2 %","41.3 %","14.7 %","4.82","4.69","4.75","9.9"
"Diamondbacks","47","46","21","387","93","842.0","8.66","3.19","1.21",".293","73.1 %","43.1 %","13.8 %","4.20","4.21","4.37","9.6"
"Brewers","48","45","26","406","93","842.0","9.27","3.40","1.37",".306","71.6 %","42.1 %","15.8 %","4.65","4.37","4.29","8.8"
"Cubs","49","43","21","394","92","819.2","8.65","3.43","1.25",".292","74.0 %","47.0 %","15.9 %","4.07","4.35","4.26","8.7"
"Mets","41","51","22","362","92","818.2","9.27","3.31","1.40",".310","69.8 %","42.7 %","14.6 %","4.89","4.41","4.48","8.2"
"Rockies","45","46","17","409","91","821.0","8.10","3.40","1.48",".311","69.1 %","46.6 %","17.2 %","5.25","4.78","4.51","7.1"
"Padres","45","47","35","397","92","820.2","8.85","2.61","1.43",".294","70.3 %","43.8 %","15.4 %","4.58","4.31","4.28","6.7"
"Tigers","28","59","22","403","88","779.1","8.16","3.31","1.54",".306","69.2 %","43.5 %","15.6 %","5.01","4.84","4.78","6.5"
"Marlins","34","56","20","374","90","804.1","8.71","3.68","1.22",".287","73.2 %","39.8 %","12.6 %","4.27","4.41","4.77","6.1"
"Pirates","44","47","22","384","91","811.0","9.00","3.71","1.41",".312","70.5 %","41.7 %","14.7 %","4.97","4.62","4.68","6.1"
"Cardinals","45","45","25","388","90","797.2","8.79","3.41","1.41",".280","74.7 %","45.6 %","17.6 %","4.12","4.55","4.27","5.7"
"Braves","56","37","27","423","93","835.2","8.59","3.69","1.25",".296","73.1 %","45.5 %","14.6 %","4.18","4.50","4.56","5.6"
"White Sox","42","46","22","386","88","762.1","8.10","3.84","1.53",".304","70.4 %","40.7 %","15.0 %","5.14","5.01","5.03","5.0"
"Angels","47","46","21","410","93","821.1","9.03","3.59","1.63",".282","72.8 %","38.7 %","16.0 %","4.85","4.89","4.76","4.7"
"Blue Jays","35","58","17","405","93","823.0","8.27","3.77","1.47",".303","71.6 %","44.9 %","16.0 %","4.87","4.87","4.75","4.3"
"Royals","32","61","18","371","93","815.2","7.77","3.75","1.34",".306","71.2 %","44.1 %","14.5 %","5.03","4.84","4.93","4.2"
"Giants","42","49","24","393","91","813.0","8.62","3.19","1.38",".299","71.2 %","42.2 %","15.3 %","4.54","4.50","4.47","4.2"
"Phillies","47","45","23","390","92","818.0","8.42","3.37","1.69",".299","75.9 %","42.6 %","18.1 %","4.61","5.03","4.64","3.3"
"Mariners","39","57","20","406","96","852.2","7.79","3.31","1.69",".300","66.5 %","42.3 %","16.6 %","5.26","5.12","4.91","2.8"
"Orioles","28","64","17","375","92","811.0","7.77","3.62","1.99",".292","67.8 %","40.9 %","18.0 %","5.79","5.71","5.25","1.5"
