"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","2140","5963","262","863","835","61","10.1 %","18.3 %",".218",".301",".276",".354",".494",".355","125","-9.2","183.1","-4.7","37.8"
"Dodgers","2205","5853","261","818","794","50","9.7 %","21.4 %",".215",".289",".257",".338",".472",".338","110","8.9","90.3","52.0","32.2"
"Yankees","2115","5841","286","886","847","53","9.2 %","22.6 %",".223",".308",".270",".342",".493",".349","118","-0.5","130.8","-11.5","31.6"
"Twins","2110","5890","287","862","832","26","8.1 %","21.2 %",".225",".301",".270",".338",".495",".347","116","-7.1","112.5","-15.5","29.6"
"Athletics","2175","5850","244","804","763","44","9.1 %","21.3 %",".202",".282",".250",".327",".451",".328","107","-5.9","49.5","15.0","26.4"
"Red Sox","2224","5926","228","831","794","62","9.1 %","21.1 %",".200",".312",".270",".341",".470",".339","107","-8.9","40.4","14.0","25.6"
"Braves","2236","5876","235","806","776","85","9.8 %","23.1 %",".197",".306",".259",".337",".456",".333","102","9.2","23.5","44.9","25.1"
"Cubs","2196","5704","242","762","735","44","9.4 %","23.6 %",".203",".298",".254",".333",".457",".332","102","-5.2","12.1","49.4","23.9"
"Nationals","2124","5728","213","791","745","103","9.1 %","21.0 %",".191",".304",".263",".340",".454",".335","102","3.7","16.8","31.4","22.7"
"Diamondbacks","2210","5817","208","746","714","84","8.4 %","21.4 %",".184",".292",".253",".323",".437",".320","94","19.6","-25.6","64.9","22.1"
"Rays","2238","5852","199","719","683","89","8.6 %","23.3 %",".177",".306",".255",".327",".432",".321","103","9.4","28.0","-10.2","21.9"
"Brewers","2282","5808","232","701","681","97","9.9 %","24.5 %",".191",".296",".248",".329",".439",".324","96","8.9","-22.3","52.6","21.2"
"Mets","2228","5782","218","723","700","53","8.1 %","21.9 %",".182",".299",".257",".328",".439",".324","103","-13.6","6.3","16.8","20.4"
"Phillies","2207","5729","196","719","688","72","9.3 %","23.1 %",".181",".295",".247",".323",".429",".317","92","14.5","-46.0","65.8","19.9"
"Angels","2230","5801","211","731","698","61","9.5 %","19.8 %",".180",".280",".249",".327",".429",".320","101","-5.5","-1.2","-7.5","19.1"
"Cardinals","2195","5621","189","699","657","105","8.9 %","22.4 %",".168",".291",".247",".321",".414",".313","93","13.8","-37.7","50.5","18.9"
"Indians","2126","5678","208","709","673","97","9.2 %","21.5 %",".183",".289",".251",".325",".434",".320","94","3.6","-41.2","27.9","18.2"
"Mariners","2150","5754","230","723","697","112","9.6 %","25.5 %",".193",".290",".240",".320",".433",".319","101","11.5","19.1","-56.3","16.2"
"Padres","2194","5557","209","654","626","68","8.4 %","25.7 %",".178",".296",".242",".312",".420",".310","91","-10.9","-80.7","56.0","15.1"
"Pirates","2254","5784","159","716","689","62","7.0 %","19.5 %",".161",".311",".267",".325",".428",".317","94","-4.8","-48.0","-22.8","11.4"
"Reds","2266","5624","216","666","645","71","7.8 %","23.4 %",".182",".288",".245",".314",".427",".313","88","-13.3","-106.4","30.5","10.4"
"Giants","2267","5672","158","634","613","39","7.7 %","23.1 %",".157",".290",".240",".303",".397",".297","84","-3.7","-126.4","48.4","10.3"
"Blue Jays","2144","5612","223","658","630","43","8.3 %","24.7 %",".188",".278",".235",".303",".423",".307","89","-6.9","-83.1","-23.1","9.0"
"Rangers","2121","5795","205","754","712","115","8.6 %","25.6 %",".182",".305",".247",".318",".429",".316","87","13.1","-86.1","-29.1","8.8"
"Royals","2077","5624","154","635","600","110","7.5 %","22.6 %",".154",".296",".245",".308",".400",".301","83","-2.8","-125.0","10.6","8.3"
"Rockies","2224","5794","199","778","749","54","7.8 %","23.7 %",".189",".323",".266",".327",".456",".328","85","-1.6","-118.0","13.5","8.1"
"White Sox","2123","5564","162","645","617","61","6.3 %","25.5 %",".149",".324",".257",".311",".406",".305","90","6.5","-66.4","-47.6","8.1"
"Orioles","2178","5637","190","655","624","76","7.3 %","23.4 %",".165",".294",".246",".308",".411",".305","87","3.6","-93.9","-62.1","4.3"
"Marlins","2178","5522","128","551","532","46","6.6 %","24.5 %",".128",".300",".239",".297",".367",".285","76","-22.0","-198.3","27.2","0.8"
"Tigers","2127","5620","140","552","527","53","6.6 %","26.5 %",".149",".311",".242",".297",".391",".292","78","-4.2","-162.8","-47.8","-1.0"
