"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Mets","5","2","3","22","7","63.0","10.00","2.57","0.57",".272","83.3 %","54.9 %","8.9 %","2.29","2.82","3.42","2.0"
"Astros","4","3","1","29","7","63.0","11.29","2.14","1.29",".350","69.2 %","39.0 %","16.7 %","4.71","3.33","3.18","1.9"
"Cubs","5","2","1","34","7","62.1","9.53","3.18","0.29",".355","68.4 %","51.1 %","4.3 %","3.47","2.72","3.77","1.6"
"Yankees","4","3","1","37","7","63.1","10.23","3.13","0.99",".356","70.4 %","37.1 %","10.6 %","4.26","3.52","4.16","1.5"
"Giants","3","4","3","33","7","63.0","6.43","2.14","0.57",".250","67.9 %","42.5 %","6.6 %","3.14","3.38","4.48","1.3"
"Orioles","3","3","0","34","6","56.1","7.83","3.36","1.12",".319","78.2 %","34.9 %","9.7 %","3.83","4.37","5.31","1.2"
"Marlins","1","6","1","33","7","61.0","8.41","3.25","1.03",".287","75.8 %","38.2 %","10.9 %","3.98","4.07","4.67","1.1"
"Nationals","3","3","0","24","6","53.0","7.98","3.91","0.85",".319","71.2 %","36.4 %","8.2 %","4.75","4.03","5.10","1.0"
"Reds","3","3","2","18","6","51.0","9.71","2.65","1.24",".202","75.9 %","41.0 %","13.7 %","3.18","3.84","4.06","0.9"
"Dodgers","4","2","2","32","6","52.0","9.00","2.94","0.87",".190","72.7 %","48.8 %","11.1 %","2.94","3.74","4.21","0.9"
"Blue Jays","4","2","2","37","6","57.0","7.42","3.16","1.11",".290","67.9 %","49.4 %","12.7 %","4.58","4.37","4.70","0.8"
"Rays","3","3","2","30","6","53.0","8.83","2.21","1.19",".301","64.7 %","47.3 %","14.0 %","4.75","3.88","4.04","0.7"
"Red Sox","3","3","3","37","6","52.0","11.08","4.15","1.38",".328","79.0 %","34.1 %","13.1 %","4.15","4.25","4.60","0.7"
"Mariners","4","2","2","32","6","55.0","9.82","3.44","1.64",".322","64.6 %","46.5 %","17.9 %","5.89","4.60","4.27","0.7"
"Brewers","6","1","5","38","7","62.0","10.45","3.48","1.45",".277","73.4 %","36.0 %","14.7 %","4.35","4.20","4.29","0.6"
"Phillies","2","4","2","30","6","54.0","10.50","4.33","1.50",".273","74.1 %","42.2 %","20.9 %","3.50","4.61","4.03","0.5"
"Twins","3","3","1","25","6","53.0","8.15","3.06","1.53",".267","70.2 %","42.9 %","18.4 %","4.42","4.91","4.55","0.5"
"Braves","4","3","1","34","7","60.0","8.10","3.75","1.80",".235","84.2 %","47.9 %","21.4 %","3.90","5.37","4.63","0.3"
"Indians","4","2","2","24","6","54.0","9.50","2.50","2.00",".248","90.5 %","32.9 %","17.1 %","3.50","4.83","4.53","0.3"
"Cardinals","2","4","0","30","6","52.0","10.04","4.15","1.38",".262","86.5 %","40.2 %","15.4 %","3.12","4.60","4.60","0.2"
"Pirates","3","4","3","36","7","59.0","9.46","3.51","2.44",".354","54.9 %","51.3 %","31.4 %","9.00","6.17","4.37","0.0"
"Rockies","5","1","4","38","6","54.0","7.67","5.67","1.67",".270","72.4 %","47.7 %","21.3 %","5.83","6.14","5.47","0.0"
"Tigers","2","4","0","34","6","57.0","8.68","4.11","2.21",".318","64.9 %","41.9 %","23.7 %","6.79","5.95","4.83","0.0"
"Angels","1","5","1","33","6","54.0","7.17","3.67","1.83",".275","67.6 %","42.1 %","19.0 %","6.00","5.72","5.21","-0.1"
"White Sox","2","4","1","33","6","54.0","9.33","5.00","2.17",".331","74.9 %","49.1 %","23.6 %","6.00","5.94","4.84","-0.1"
"Rangers","2","4","2","34","6","56.0","8.52","4.98","2.25",".317","65.9 %","36.2 %","18.4 %","7.07","6.29","5.75","-0.1"
"Padres","2","5","0","37","7","61.0","10.33","3.84","2.07",".341","60.0 %","39.2 %","20.0 %","7.52","5.38","4.69","-0.2"
"Athletics","6","1","5","29","7","62.0","7.55","3.77","2.47",".284","72.7 %","49.5 %","26.2 %","5.95","6.41","4.94","-0.3"
"Royals","2","4","2","30","6","53.0","8.49","5.43","2.04",".314","72.5 %","35.3 %","16.9 %","6.28","6.14","5.87","-0.3"
"Diamondbacks","1","6","1","34","7","59.0","8.08","2.59","2.75",".216","82.2 %","42.8 %","26.5 %","3.97","6.35","4.69","-0.6"
