"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","89","62","44","689","151","1369.1","9.79","2.75","1.11",".290","73.9 %","44.3 %","13.5 %","3.67","3.68","3.90","23.6"
"Dodgers","97","54","39","638","151","1344.2","9.35","2.40","1.16",".271","74.3 %","44.9 %","14.1 %","3.42","3.76","3.91","22.3"
"Twins","91","58","45","618","149","1347.0","8.83","2.80","1.24",".305","71.9 %","41.8 %","13.5 %","4.18","4.10","4.35","21.0"
"Astros","98","53","40","603","151","1360.2","10.23","2.78","1.46",".271","76.8 %","43.5 %","17.1 %","3.74","4.07","3.85","20.9"
"Indians","87","63","41","629","150","1333.2","9.48","2.83","1.30",".289","76.6 %","39.7 %","13.7 %","3.73","4.07","4.29","20.7"
"Nationals","82","66","34","631","148","1315.1","9.39","3.27","1.27",".300","72.7 %","42.5 %","13.9 %","4.37","4.19","4.39","20.2"
"Mets","77","72","35","605","149","1342.0","9.33","3.15","1.24",".305","72.5 %","43.2 %","13.7 %","4.33","4.11","4.33","18.7"
"Reds","70","80","42","641","150","1327.1","9.78","3.36","1.36",".289","74.1 %","44.2 %","16.6 %","4.18","4.24","4.09","17.4"
"Yankees","98","53","50","639","151","1345.0","9.40","3.17","1.57",".294","74.9 %","42.5 %","16.9 %","4.38","4.54","4.33","16.6"
"Athletics","90","60","41","660","150","1360.0","7.86","3.00","1.25",".278","74.5 %","41.8 %","12.7 %","4.09","4.42","4.79","16.5"
"Cubs","81","68","37","662","149","1327.0","8.88","3.24","1.23",".297","74.5 %","46.1 %","15.1 %","4.04","4.25","4.28","15.8"
"Red Sox","79","70","31","707","149","1347.1","9.91","3.65","1.31",".310","71.2 %","42.5 %","14.3 %","4.63","4.28","4.43","15.4"
"Cardinals","83","66","45","630","149","1317.1","8.81","3.39","1.19",".282","75.7 %","45.0 %","14.5 %","3.81","4.25","4.35","14.8"
"Rangers","74","77","32","610","151","1343.0","8.53","3.62","1.47",".310","70.9 %","41.8 %","15.0 %","4.97","4.80","4.84","14.7"
"Padres","68","81","46","640","149","1319.1","9.12","2.86","1.36",".302","70.1 %","42.9 %","14.7 %","4.65","4.26","4.34","14.2"
"Diamondbacks","76","74","39","650","150","1347.0","8.65","3.17","1.35",".294","73.6 %","43.1 %","15.1 %","4.30","4.42","4.46","12.6"
"Brewers","80","69","45","681","149","1340.1","9.14","3.59","1.42",".295","72.4 %","41.8 %","15.8 %","4.60","4.57","4.51","11.0"
"White Sox","65","84","29","638","149","1304.1","8.36","3.78","1.54",".303","70.9 %","42.9 %","15.9 %","5.00","4.96","4.87","10.9"
"Braves","93","58","43","679","151","1353.0","8.61","3.53","1.28",".302","73.9 %","45.3 %","15.2 %","4.23","4.46","4.48","10.7"
"Tigers","44","104","28","679","148","1320.2","8.51","3.44","1.60",".312","68.8 %","42.7 %","16.2 %","5.28","4.93","4.80","9.5"
"Blue Jays","59","91","29","679","150","1328.1","8.23","3.81","1.39",".299","71.9 %","43.5 %","14.7 %","4.74","4.81","4.90","9.0"
"Pirates","65","85","30","650","150","1330.0","8.97","3.55","1.53",".314","68.5 %","41.9 %","15.8 %","5.24","4.79","4.74","8.6"
"Phillies","76","72","34","658","148","1329.2","8.51","3.37","1.60",".298","74.9 %","43.0 %","17.9 %","4.55","4.92","4.59","7.6"
"Rockies","65","85","26","677","150","1332.1","7.88","3.66","1.67",".309","67.9 %","46.3 %","19.0 %","5.65","5.21","4.75","7.3"
"Royals","55","95","36","617","150","1321.1","7.81","3.67","1.38",".313","70.4 %","44.0 %","14.8 %","5.17","4.88","4.96","7.2"
"Giants","72","78","40","672","150","1351.0","8.27","3.08","1.40",".287","72.5 %","41.8 %","15.0 %","4.37","4.56","4.60","7.2"
"Angels","68","82","30","679","150","1335.2","8.80","3.55","1.61",".292","70.5 %","40.5 %","16.6 %","5.08","4.94","4.77","7.2"
"Marlins","52","97","24","623","149","1323.2","8.65","3.81","1.50",".278","72.5 %","38.5 %","14.5 %","4.71","4.91","5.03","5.5"
"Orioles","49","100","26","628","149","1319.1","7.78","3.52","1.93",".296","68.2 %","40.4 %","17.6 %","5.76","5.61","5.26","5.3"
"Mariners","62","88","30","637","150","1327.1","7.88","3.16","1.70",".297","67.5 %","43.4 %","17.0 %","5.19","5.07","4.84","5.1"
