"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Cubs","124","299","20","69","67","2","8.7 %","22.1 %",".296",".360",".323",".394",".619",".414","155","-0.2","21.4","2.3","3.2"
"Astros","120","289","21","49","48","5","12.5 %","16.6 %",".292",".299",".300",".388",".593",".403","158","0.2","21.6","-0.3","3.1"
"Athletics","108","289","20","57","57","1","8.7 %","27.3 %",".287",".329",".284",".346",".571",".375","140","0.0","14.7","1.6","2.6"
"Yankees","114","304","18","54","52","4","9.5 %","21.7 %",".284",".319",".288",".362",".572",".384","142","-0.4","15.9","-1.0","2.5"
"Rockies","106","234","12","38","37","2","11.5 %","22.2 %",".275",".333",".290",".379",".565",".386","125","0.5","8.0","0.6","1.6"
"Mariners","103","238","10","34","33","6","14.3 %","24.4 %",".180",".331",".270",".380",".450",".356","125","0.4","8.0","-0.4","1.6"
"Padres","117","282","7","39","35","2","13.8 %","23.0 %",".161",".313",".250",".363",".411",".333","106","-1.3","0.8","2.8","1.2"
"Blue Jays","100","236","9","31","29","2","9.3 %","25.4 %",".203",".340",".275",".346",".478",".344","114","-0.1","4.2","-0.7","1.1"
"Tigers","97","256","6","32","32","1","9.4 %","21.1 %",".145",".371",".303",".369",".447",".346","115","-1.0","3.7","-1.3","1.1"
"Cardinals","101","226","12","30","28","7","10.2 %","25.2 %",".237",".244",".222",".314",".459",".323","103","0.8","1.4","2.7","1.1"
"Rays","104","242","8","36","35","3","9.9 %","19.8 %",".173",".311",".271",".343",".444",".333","112","-0.7","2.6","-1.5","0.9"
"White Sox","95","236","10","36","36","1","6.8 %","25.4 %",".192",".347",".285",".333",".477",".339","112","-0.3","3.4","-2.1","0.9"
"Mets","104","239","14","33","33","2","7.9 %","21.3 %",".256",".220",".219",".297",".474",".321","102","-0.1","0.3","1.0","0.9"
"Braves","114","274","8","35","32","3","11.7 %","24.8 %",".159",".325",".259",".343",".418",".321","96","-0.2","-2.2","2.0","0.8"
"Indians","94","232","9","30","29","2","9.5 %","19.0 %",".173",".273",".248",".341",".421",".328","100","-1.0","-1.3","0.8","0.8"
"Brewers","122","271","10","34","34","2","10.7 %","23.2 %",".180",".264",".227",".320",".408",".309","89","0.3","-4.1","2.5","0.7"
"Twins","91","229","12","29","29","0","7.0 %","23.1 %",".219",".288",".257",".311",".476",".326","101","-0.1","0.0","-1.6","0.6"
"Pirates","119","274","3","35","31","2","5.8 %","17.5 %",".141",".327",".277",".321",".418",".312","94","-0.2","-2.6","-0.3","0.6"
"Phillies","102","215","12","22","22","4","9.3 %","27.9 %",".218",".240",".212",".293",".430",".304","85","1.0","-3.5","2.2","0.5"
"Royals","95","223","10","22","21","3","4.9 %","26.9 %",".201",".305",".254",".288",".455",".308","88","-0.4","-3.8","0.2","0.4"
"Nationals","86","218","7","26","24","2","10.1 %","19.3 %",".182",".259",".229",".318",".411",".313","88","-0.3","-3.8","0.9","0.4"
"Orioles","105","235","8","30","29","4","9.4 %","24.3 %",".153",".292",".239",".323",".392",".310","90","0.9","-2.3","-2.7","0.3"
"Dodgers","96","225","6","26","24","5","5.8 %","24.4 %",".139",".286",".231",".289",".370",".282","75","1.3","-6.4","1.0","0.2"
"Reds","82","217","10","24","23","5","10.1 %","22.6 %",".208",".207",".198",".281",".406",".290","74","-0.1","-7.8","1.1","0.0"
"Rangers","90","234","7","35","32","8","8.5 %","23.5 %",".147",".287",".237",".308",".384",".298","75","1.2","-6.5","-2.2","0.0"
"Angels","96","211","7","16","15","3","6.2 %","23.7 %",".159",".261",".221",".276",".379",".280","73","-0.2","-7.6","-1.0","-0.1"
"Giants","111","246","3","19","18","2","5.3 %","26.8 %",".097",".316",".233",".287",".330",".267","65","0.1","-11.6","1.8","-0.2"
"Marlins","115","249","4","18","18","6","6.8 %","23.7 %",".096",".271",".215",".271",".311",".254","58","-1.4","-15.6","1.3","-0.6"
"Red Sox","103","221","3","18","18","4","7.7 %","24.0 %",".085",".262",".206",".273",".291",".249","46","-0.2","-15.8","0.8","-0.7"
"Diamondbacks","114","238","2","9","9","4","7.6 %","25.6 %",".070",".221",".167",".236",".237",".213","26","1.3","-22.7","2.8","-1.2"
