"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Pirates","98","298","14","50","47","1","5.0 %","15.1 %",".220",".380",".352",".389",".571",".399","148","-2.3","16.7","0.7","2.6"
"Athletics","101","303","11","49","49","2","11.6 %","20.1 %",".205",".332",".283",".384",".488",".370","134","-1.1","12.2","0.5","2.3"
"Phillies","93","242","9","35","34","4","7.4 %","21.9 %",".227",".375",".314",".365",".541",".373","131","1.3","11.1","2.6","2.1"
"Twins","86","256","15","49","47","0","8.6 %","25.0 %",".232",".377",".316",".383",".548",".386","141","-0.1","13.4","-1.9","2.0"
"Astros","82","248","9","44","42","0","12.5 %","20.6 %",".211",".336",".287",".385",".498",".371","137","-1.6","10.1","-0.9","1.7"
"Rays","86","228","11","37","36","3","7.5 %","25.0 %",".221",".355",".293",".351",".514",".360","128","0.4","8.5","-1.1","1.5"
"Braves","90","235","6","37","35","6","12.8 %","21.7 %",".176",".340",".276",".376",".452",".351","114","1.3","5.6","1.8","1.5"
"Dodgers","112","285","11","36","34","2","9.1 %","22.1 %",".209",".302",".261",".333",".470",".332","107","0.6","3.3","2.2","1.4"
"Cardinals","102","266","8","39","36","5","9.0 %","22.9 %",".174",".321",".264",".340",".438",".331","104","0.3","1.4","3.4","1.3"
"Red Sox","85","219","12","32","31","1","9.6 %","18.3 %",".258",".250",".247",".332",".505",".346","112","-0.5","2.5","1.5","1.1"
"Cubs","87","219","10","26","25","3","6.4 %","25.1 %",".216",".299",".251",".313",".467",".328","103","-0.3","0.6","3.2","1.1"
"Yankees","87","229","15","30","29","2","8.3 %","22.7 %",".261",".241",".237",".306",".498",".333","106","0.4","2.1","0.3","1.0"
"Nationals","72","182","9","31","30","2","6.0 %","17.0 %",".264",".276",".264",".330",".528",".354","113","0.0","2.9","0.8","0.9"
"Indians","83","226","9","24","24","3","8.4 %","20.8 %",".197",".290",".258",".333",".455",".332","103","-0.8","0.1","0.9","0.9"
"Diamondbacks","97","231","8","34","31","3","6.5 %","21.2 %",".171",".314",".267",".325",".438",".321","93","0.9","-1.8","2.0","0.7"
"Mets","87","236","9","29","28","0","7.2 %","16.9 %",".188",".274",".254",".321",".441",".323","103","-1.0","-0.4","0.3","0.7"
"Royals","95","266","8","34","33","4","7.5 %","18.4 %",".147",".310",".273",".336",".420",".321","98","-0.9","-1.7","-0.2","0.7"
"Orioles","74","191","6","29","28","7","5.8 %","20.9 %",".150",".321",".277",".325",".428",".317","97","1.1","0.2","-2.1","0.5"
"Padres","105","249","8","28","26","4","5.6 %","24.5 %",".196",".278",".230",".282",".426",".297","82","-1.0","-7.2","3.2","0.4"
"Rockies","109","265","9","31","31","3","6.0 %","24.2 %",".181",".335",".276",".322",".457",".326","85","-0.1","-6.1","1.4","0.4"
"Mariners","97","266","6","28","24","4","10.9 %","22.6 %",".122",".267",".217",".317",".339",".290","83","-0.2","-6.1","0.1","0.3"
"Blue Jays","75","180","6","17","16","1","10.6 %","24.4 %",".144",".291",".238",".318",".381",".303","89","-0.2","-2.9","-1.0","0.2"
"Giants","93","223","6","22","21","1","4.5 %","24.7 %",".130",".302",".245",".287",".375",".282","74","0.3","-7.8","2.4","0.2"
"Angels","86","209","5","24","23","3","12.0 %","21.5 %",".143",".263",".220",".316",".363",".290","82","0.0","-4.9","-0.7","0.2"
"Reds","115","308","15","38","38","3","7.1 %","23.7 %",".213",".220",".206",".277",".419",".291","74","-0.2","-11.0","2.0","0.1"
"Brewers","98","223","3","16","16","3","9.0 %","27.4 %",".114",".304",".224",".296",".338",".275","65","0.2","-10.5","2.3","-0.1"
"Tigers","82","209","6","21","21","2","2.9 %","32.5 %",".160",".336",".245",".268",".405",".281","71","-0.6","-8.3","-0.3","-0.1"
"White Sox","89","227","2","23","20","0","5.3 %","26.0 %",".077",".338",".249",".302",".325",".275","68","0.0","-9.4","-0.1","-0.1"
"Marlins","98","254","10","21","21","2","8.7 %","33.5 %",".162",".237",".183",".254",".345",".255","58","-0.6","-15.2","0.4","-0.6"
"Rangers","84","217","3","20","19","1","7.8 %","24.0 %",".122",".273",".213",".278",".335",".263","53","0.0","-13.4","-2.4","-0.8"
