"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Reds","4","4","2","31","8","71.0","10.39","2.92","1.27",".284","74.7 %","44.9 %","16.4 %","3.68","3.80","3.68","1.6"
"Twins","5","1","2","23","6","53.0","11.55","1.53","1.02",".397","72.8 %","41.5 %","12.0 %","3.91","2.75","3.15","1.6"
"Nationals","4","1","0","21","5","45.0","11.80","2.40","1.00",".237","76.5 %","48.5 %","14.3 %","3.00","2.91","3.01","1.4"
"Indians","3","3","2","21","6","51.0","9.71","1.94","1.24",".305","71.1 %","40.6 %","14.6 %","4.06","3.55","3.64","1.3"
"Dodgers","3","4","2","36","7","62.0","9.58","2.47","1.02",".280","63.3 %","42.6 %","11.9 %","4.35","3.57","4.00","1.1"
"Cardinals","5","2","1","29","7","62.0","9.44","2.90","1.16",".232","75.3 %","41.4 %","12.7 %","3.34","3.91","4.26","1.1"
"Diamondbacks","5","1","3","32","6","56.0","7.88","2.57","1.13",".270","75.6 %","41.8 %","11.7 %","3.38","4.06","4.57","1.0"
"Rangers","3","3","2","23","6","53.0","6.62","3.91","0.68",".276","70.6 %","43.6 %","6.8 %","3.91","4.31","5.55","1.0"
"Braves","4","2","2","27","6","52.1","7.74","3.10","0.52",".314","69.3 %","44.8 %","8.8 %","3.61","3.45","4.00","1.0"
"Astros","4","2","0","22","6","53.0","11.21","3.40","1.70",".286","77.4 %","41.0 %","19.2 %","4.25","4.37","3.87","1.0"
"Cubs","4","2","2","28","6","54.0","8.50","3.00","1.00",".276","85.8 %","43.3 %","11.8 %","2.67","3.94","4.38","0.8"
"Padres","4","3","3","28","7","63.0","9.86","2.86","1.43",".331","74.0 %","36.5 %","13.7 %","4.43","4.23","4.48","0.8"
"Red Sox","4","1","2","30","5","50.0","10.08","4.32","1.08",".366","72.4 %","42.2 %","12.2 %","5.22","4.04","4.43","0.8"
"Angels","2","3","1","29","5","51.0","9.53","3.35","1.06",".252","78.0 %","36.7 %","13.6 %","3.18","3.98","4.17","0.8"
"Yankees","5","1","1","28","6","56.0","9.32","5.14","1.13",".215","80.1 %","38.7 %","13.2 %","3.54","4.70","4.96","0.7"
"Mets","2","4","1","25","6","53.0","10.02","2.55","1.53",".350","68.9 %","40.3 %","20.9 %","5.09","4.11","3.51","0.6"
"Orioles","2","3","1","21","5","42.0","7.29","3.21","1.07",".285","69.2 %","43.4 %","10.2 %","4.29","4.36","5.14","0.6"
"Athletics","4","3","2","28","7","62.0","8.42","2.61","1.45",".284","76.1 %","47.7 %","15.9 %","4.06","4.56","4.48","0.6"
"Blue Jays","2","3","2","27","5","45.0","8.80","4.80","0.80",".306","72.6 %","43.0 %","8.5 %","4.00","4.22","5.14","0.5"
"Brewers","3","3","2","30","6","53.0","8.49","3.74","1.36",".299","77.8 %","38.5 %","16.0 %","3.91","4.82","4.74","0.4"
"Pirates","5","2","1","29","7","63.0","9.29","2.14","1.86",".335","70.5 %","41.7 %","21.0 %","5.43","4.70","3.97","0.4"
"Giants","1","5","0","27","6","54.0","7.33","2.00","1.50",".304","71.9 %","44.5 %","15.8 %","4.50","4.53","4.47","0.4"
"Mariners","2","5","0","28","7","61.1","7.48","2.64","1.61",".271","71.2 %","46.8 %","16.2 %","4.70","4.87","4.74","0.3"
"Phillies","3","3","0","27","6","56.0","6.27","2.73","1.45",".303","71.6 %","40.4 %","14.3 %","4.98","4.93","5.08","0.2"
"Rays","4","2","2","31","6","52.0","8.65","4.33","1.56",".325","64.5 %","38.9 %","16.4 %","5.88","5.22","5.07","0.1"
"Royals","3","4","3","29","7","63.0","7.14","3.43","1.57",".353","57.4 %","46.5 %","16.2 %","7.71","5.33","5.21","0.1"
"White Sox","0","6","0","29","6","51.0","9.00","4.41","2.12",".369","61.9 %","35.6 %","24.0 %","7.94","5.98","4.88","-0.2"
"Tigers","1","5","0","25","6","54.0","9.33","3.83","2.33",".338","66.8 %","39.6 %","20.0 %","6.17","6.07","5.28","-0.2"
"Marlins","1","6","0","28","7","63.1","7.67","2.56","2.42",".247","65.4 %","38.7 %","20.0 %","5.83","6.14","5.32","-0.4"
"Rockies","1","6","0","34","7","63.0","7.00","3.43","2.29",".361","65.9 %","50.0 %","24.2 %","6.71","6.25","5.03","-0.4"
