"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","80","58","38","621","138","1252.1","9.78","2.84","1.12",".290","74.0 %","44.4 %","13.6 %","3.69","3.72","3.93","21.0"
"Dodgers","89","50","35","573","139","1238.2","9.31","2.33","1.18",".273","74.0 %","45.2 %","14.2 %","3.44","3.76","3.89","20.7"
"Twins","84","52","40","555","136","1230.0","8.79","2.77","1.22",".307","71.8 %","41.8 %","13.3 %","4.17","4.08","4.35","20.1"
"Indians","79","58","37","571","137","1215.2","9.43","2.78","1.27",".289","76.1 %","40.3 %","13.5 %","3.72","4.03","4.27","19.5"
"Nationals","77","58","34","577","135","1202.1","9.44","3.15","1.23",".299","72.7 %","42.9 %","13.4 %","4.30","4.08","4.33","19.1"
"Astros","89","49","36","546","138","1239.2","10.09","2.82","1.47",".268","77.1 %","43.8 %","17.1 %","3.71","4.13","3.91","17.9"
"Mets","69","67","32","552","136","1225.2","9.29","3.19","1.27",".304","72.4 %","42.9 %","13.8 %","4.36","4.18","4.37","16.2"
"Reds","64","73","39","590","137","1211.1","9.79","3.38","1.34",".295","74.1 %","44.3 %","16.6 %","4.21","4.23","4.08","16.0"
"Yankees","90","48","49","577","138","1228.2","9.32","3.19","1.60",".292","74.9 %","42.8 %","17.2 %","4.42","4.62","4.36","15.5"
"Athletics","78","58","34","597","137","1236.1","7.72","3.02","1.20",".278","74.3 %","41.4 %","12.1 %","4.06","4.38","4.85","15.4"
"Red Sox","74","63","27","630","137","1241.1","9.89","3.57","1.31",".312","70.5 %","42.8 %","14.3 %","4.68","4.25","4.39","14.4"
"Rangers","67","71","28","546","138","1226.0","8.62","3.58","1.42",".313","70.8 %","42.0 %","14.8 %","4.93","4.70","4.77","14.2"
"Cubs","73","63","36","598","136","1213.0","8.76","3.18","1.27",".294","74.7 %","45.8 %","15.5 %","4.07","4.32","4.30","13.7"
"Cardinals","76","60","41","574","136","1203.1","8.78","3.40","1.21",".283","75.2 %","45.0 %","14.8 %","3.91","4.30","4.36","13.4"
"Diamondbacks","70","67","34","587","137","1234.2","8.63","3.16","1.30",".298","73.0 %","43.2 %","14.6 %","4.37","4.36","4.46","13.1"
"Padres","64","72","45","579","136","1206.1","9.06","2.79","1.35",".300","70.6 %","43.2 %","14.8 %","4.54","4.23","4.30","13.1"
"Braves","84","54","39","619","138","1239.0","8.60","3.56","1.23",".307","73.3 %","45.2 %","14.7 %","4.26","4.42","4.50","9.9"
"White Sox","60","76","27","577","136","1189.1","8.28","3.65","1.51",".303","70.9 %","42.7 %","15.6 %","4.92","4.90","4.86","9.7"
"Brewers","70","66","38","611","136","1223.1","9.07","3.63","1.42",".297","72.1 %","41.9 %","15.8 %","4.65","4.60","4.54","9.5"
"Tigers","40","94","26","608","135","1199.0","8.47","3.42","1.60",".309","68.9 %","42.9 %","16.1 %","5.21","4.93","4.81","8.8"
"Pirates","60","77","26","581","137","1216.0","9.02","3.52","1.50",".313","69.3 %","41.3 %","15.3 %","5.06","4.72","4.71","8.4"
"Rockies","59","79","21","606","138","1228.0","7.89","3.53","1.63",".313","67.5 %","46.3 %","18.6 %","5.64","5.10","4.69","8.2"
"Blue Jays","55","83","27","614","138","1223.1","8.25","3.83","1.41",".300","72.7 %","43.2 %","14.8 %","4.72","4.84","4.91","7.4"
"Angels","65","73","28","616","138","1231.2","8.91","3.51","1.60",".294","71.0 %","40.5 %","16.5 %","5.01","4.88","4.71","6.7"
"Royals","49","89","31","560","138","1215.1","7.78","3.64","1.38",".312","70.3 %","44.3 %","14.9 %","5.15","4.88","4.94","6.5"
"Phillies","70","65","31","584","135","1213.0","8.38","3.30","1.62",".299","74.5 %","43.0 %","17.8 %","4.63","4.95","4.62","6.4"
"Giants","66","70","34","603","136","1229.0","8.41","3.11","1.44",".291","72.8 %","41.9 %","15.6 %","4.46","4.61","4.58","6.0"
"Mariners","58","80","28","574","138","1220.0","7.75","3.04","1.70",".294","68.3 %","43.1 %","16.9 %","5.04","5.06","4.83","5.0"
"Marlins","48","88","22","563","136","1208.2","8.68","3.83","1.53",".278","72.2 %","38.3 %","14.8 %","4.77","4.96","5.04","4.3"
"Orioles","45","91","25","560","136","1200.1","7.81","3.57","2.00",".294","67.7 %","40.2 %","18.0 %","5.87","5.71","5.28","2.9"
