"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1007.1","8.84","2.46","0.88",".263","77.1%","2.90","3.39","3.70","1.07"
"HOU","1028.2","9.09","2.86","0.87",".263","76.6%","3.02","3.47","3.76","1.10"
"NYY","1031.2","9.10","2.68","0.99",".267","77.1%","3.28","3.55","3.60","1.11"
"TBR","1004.2","8.67","2.43","1.07",".280","73.6%","3.45","3.71","3.74","1.15"
"NYM","1027.2","9.67","2.74","1.06",".292","77.1%","3.45","3.57","3.49","1.18"
"ATL","1038.1","9.59","3.24","0.87",".294","73.1%","3.63","3.46","3.65","1.23"
"SEA","1034.0","8.51","2.92","1.24",".279","77.0%","3.69","4.11","4.04","1.22"
"PHI","1011.0","8.84","2.91","0.93",".291","72.4%","3.74","3.62","3.76","1.21"
"SDP","1042.0","8.97","2.95","0.99",".287","73.0%","3.77","3.71","3.80","1.21"
"CLE","1010.1","8.41","2.81","1.09",".283","72.6%","3.79","3.88","3.90","1.21"
"MIA","1017.2","8.85","3.13","1.04",".290","73.0%","3.80","3.86","3.76","1.25"
"MIL","1004.0","9.55","3.29","1.17",".285","72.9%","3.84","3.91","3.69","1.24"
"LAA","1020.2","8.72","3.35","1.06",".280","73.2%","3.84","3.95","3.98","1.25"
"STL","1007.2","7.52","3.09","1.02",".285","74.5%","3.89","4.09","4.05","1.27"
"CHW","1027.0","9.15","3.44","1.08",".299","72.4%","3.91","3.87","3.88","1.31"
"BAL","1007.2","7.83","2.79","1.13",".296","74.1%","3.93","4.07","4.08","1.29"
"SFG","1007.1","8.59","2.77","0.87",".307","69.3%","3.97","3.50","3.67","1.28"
"TOR","1003.0","8.51","2.68","1.20",".294","73.3%","3.99","4.02","3.90","1.25"
"DET","1010.2","7.50","3.22","0.95",".285","69.9%","4.03","4.01","4.34","1.29"
"MIN","1002.0","8.39","3.03","1.24",".281","73.1%","4.06","4.17","4.11","1.25"
"TEX","1014.0","8.33","3.59","1.04",".286","71.4%","4.09","4.12","4.09","1.31"
"ARI","1005.1","7.44","3.11","1.05",".283","70.4%","4.12","4.15","4.33","1.28"
"CHC","1007.1","8.83","3.36","1.30",".297","71.5%","4.30","4.30","3.98","1.33"
"OAK","1009.2","7.62","3.19","1.21",".280","71.4%","4.32","4.37","4.38","1.30"
"BOS","1036.0","8.44","3.22","1.09",".297","70.0%","4.35","4.06","4.07","1.31"
"PIT","1008.0","7.80","3.59","1.08",".308","69.4%","4.63","4.31","4.35","1.43"
"KCR","1019.1","7.58","3.89","1.14",".304","70.3%","4.69","4.50","4.48","1.46"
"COL","1031.1","7.08","3.39","1.13",".313","67.1%","5.02","4.43","4.37","1.46"
"CIN","992.0","9.00","3.88","1.41",".301","70.5%","5.05","4.68","4.36","1.41"
"WSN","1012.0","7.89","3.70","1.57",".305","69.4%","5.30","5.03","4.53","1.48"
