"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","4354","610","74","9.7%","21.4%",".190",".305",".261",".337",".451",".341","122","15.4","28.9%","84.9%","42.0%"
"NYY","4407","596","74","10.3%","22.1%",".195",".273",".242",".328",".438",".333","119","-4.8","30.3%","84.3%","42.7%"
"TOR","4264","533","46","7.7%","20.6%",".171",".304",".263",".325",".434",".330","113","-6.3","31.0%","85.5%","44.3%"
"ATL","4366","557","65","7.6%","24.7%",".193",".299",".251",".315",".444",".329","108","7.4","35.1%","82.4%","43.3%"
"HOU","4329","525","56","9.1%","19.6%",".181",".271",".244",".318",".425",".324","114","-6.9","31.6%","87.1%","39.5%"
"NYM","4384","552","40","8.1%","19.8%",".150",".303",".259",".330",".409",".324","113","-3.9","32.9%","86.3%","36.5%"
"STL","4324","536","72","8.5%","20.5%",".164",".293",".253",".323",".417",".323","111","9.4","33.7%","86.4%","36.3%"
"MIN","4273","505","24","8.6%","21.7%",".166",".292",".250",".320",".416",".321","110","-11.8","31.9%","86.1%","42.0%"
"COL","4449","532","32","7.7%","20.5%",".144",".314",".263",".326",".408",".321","92","-3.9","33.3%","87.7%","36.6%"
"MIL","4280","516","68","9.3%","23.3%",".176",".281",".239",".319",".415",".320","103","1.7","29.5%","85.4%","39.4%"
"PHI","4264","526","73","7.8%","22.4%",".170",".291",".249",".312",".418",".318","102","6.3","34.1%","85.7%","40.7%"
"SFG","4321","521","52","9.7%","22.9%",".160",".281",".236",".320",".395",".315","104","1.7","29.3%","84.8%","36.8%"
"BOS","4396","516","39","7.3%","22.1%",".155",".305",".253",".313",".408",".314","100","-3.2","34.0%","84.5%","40.4%"
"CHC","4285","470","73","8.5%","23.3%",".149",".301",".245",".319",".394",".313","99","-6.8","31.9%","83.7%","37.8%"
"SDP","4465","524","35","9.2%","21.4%",".140",".292",".243",".319",".383",".309","101","3.2","31.0%","85.9%","36.5%"
"CHW","4356","490","40","6.2%","20.5%",".129",".309",".259",".313",".388",".307","101","1.3","36.4%","86.1%","39.9%"
"SEA","4374","467","59","9.6%","22.7%",".150",".276",".231",".315",".381",".307","105","-8.9","30.1%","86.0%","35.3%"
"CLE","4315","496","76","7.4%","18.3%",".133",".293",".252",".314",".385",".307","99","9.1","33.3%","87.9%","34.0%"
"TEX","4274","511","88","7.7%","23.6%",".156",".289",".241",".303",".397",".306","100","16.5","33.3%","82.9%","39.1%"
"BAL","4281","483","71","7.5%","23.1%",".153",".288",".238",".306",".392",".306","97","8.4","35.1%","84.7%","38.8%"
"ARI","4237","493","58","9.3%","22.1%",".160",".269",".229",".307",".389",".305","92","18.0","28.6%","86.1%","36.0%"
"WSN","4301","438","48","8.0%","19.6%",".127",".293",".248",".315",".375",".304","92","-23.6","33.7%","85.8%","35.1%"
"KCR","4310","457","73","7.8%","21.1%",".136",".295",".247",".309",".383",".304","96","-0.7","33.2%","85.7%","37.4%"
"CIN","4175","478","45","7.7%","24.2%",".136",".298",".240",".310",".376",".303","88","-9.7","33.1%","85.7%","35.6%"
"TBR","4196","464","65","8.4%","24.0%",".139",".296",".238",".307",".377",".301","101","-2.6","32.0%","83.3%","38.9%"
"LAA","4239","444","62","8.1%","26.0%",".152",".284",".227",".297",".379",".296","92","2.1","30.5%","83.1%","37.2%"
"MIA","4244","430","97","7.4%","23.5%",".135",".288",".234",".298",".369",".294","91","1.4","34.5%","85.6%","37.3%"
"PIT","4188","415","58","8.0%","25.6%",".143",".275",".221",".289",".363",".288","83","-1.8","31.4%","86.8%","37.6%"
"OAK","4135","387","63","7.1%","23.4%",".129",".262",".215",".277",".344",".275","81","3.2","33.5%","85.2%","34.8%"
"DET","4161","368","30","6.5%","24.5%",".104",".287",".225",".282",".330",".271","74","-10.4","36.2%","84.9%","35.7%"
