"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","40","24","17","272","64","580.2","9.55","2.88","0.81",".279","77.3 %","45.6 %","10.4 %","2.98","3.25","3.73","12.0"
"Dodgers","45","21","21","267","66","587.1","8.80","2.27","1.13",".264","75.4 %","45.3 %","13.6 %","3.34","3.71","3.85","9.6"
"Astros","45","22","20","252","67","601.0","9.99","2.76","1.38",".251","78.4 %","43.0 %","15.8 %","3.46","3.93","3.80","9.6"
"Reds","29","35","16","290","64","567.2","9.77","3.23","1.06",".295","76.8 %","45.3 %","13.8 %","3.65","3.70","3.82","9.4"
"Yankees","40","24","23","270","64","571.0","9.44","3.07","1.45",".280","76.2 %","42.9 %","15.6 %","3.91","4.27","4.15","9.0"
"Twins","43","21","18","256","64","564.0","8.87","2.82","1.28",".294","74.8 %","40.3 %","13.6 %","3.97","4.10","4.26","8.8"
"Nationals","30","35","15","282","65","571.1","9.92","3.32","1.20",".314","69.3 %","42.0 %","12.9 %","4.66","3.95","4.19","8.6"
"Indians","33","32","20","277","65","570.1","9.55","2.90","1.36",".288","74.4 %","40.5 %","14.5 %","3.99","4.11","4.15","8.2"
"Cubs","37","27","15","276","64","578.0","8.75","3.58","1.04",".292","74.3 %","47.6 %","13.5 %","3.78","4.00","4.13","8.0"
"Diamondbacks","34","32","15","274","66","603.0","8.90","3.18","1.12",".302","74.3 %","43.7 %","13.3 %","4.01","3.97","4.15","7.9"
"Red Sox","34","32","14","285","66","590.0","9.90","3.16","1.31",".298","70.9 %","42.9 %","14.3 %","4.41","4.05","4.12","7.8"
"Mets","32","33","16","258","65","583.1","9.35","3.33","1.20",".308","71.1 %","42.6 %","12.6 %","4.51","4.05","4.34","7.4"
"Athletics","33","33","14","297","67","607.2","7.73","3.45","1.17",".278","72.5 %","39.9 %","11.0 %","4.31","4.41","4.98","6.9"
"Brewers","38","28","20","288","66","600.1","9.31","3.43","1.38",".298","72.5 %","42.9 %","16.1 %","4.50","4.32","4.15","6.0"
"Rangers","34","30","14","265","64","571.0","8.35","3.72","1.39",".316","72.0 %","40.9 %","14.1 %","4.92","4.68","4.77","5.9"
"Rockies","33","31","11","288","64","577.1","8.22","3.40","1.42",".302","70.9 %","47.5 %","16.9 %","4.97","4.60","4.34","5.1"
"Padres","33","33","26","282","66","586.0","8.91","2.46","1.43",".280","72.4 %","44.1 %","15.3 %","4.21","4.19","4.11","4.7"
"White Sox","31","33","14","266","64","548.2","8.32","3.85","1.46",".294","71.2 %","39.7 %","14.3 %","4.84","4.81","4.87","4.6"
"Tigers","24","38","19","286","63","560.2","8.07","3.34","1.59",".295","70.5 %","43.2 %","16.1 %","4.85","4.91","4.72","4.2"
"Royals","20","45","7","263","65","569.1","7.92","3.84","1.20",".312","69.1 %","44.7 %","13.6 %","5.22","4.60","4.74","4.0"
"Pirates","30","34","17","270","64","573.0","8.78","3.75","1.37",".304","68.3 %","40.9 %","14.1 %","5.04","4.55","4.64","3.8"
"Braves","36","29","17","299","65","584.2","8.74","3.73","1.28",".289","73.0 %","45.0 %","14.8 %","4.25","4.47","4.47","3.7"
"Blue Jays","23","42","13","278","65","576.0","8.41","3.92","1.44",".291","72.4 %","45.2 %","15.7 %","4.59","4.79","4.66","3.2"
"Marlins","23","40","13","260","63","562.2","8.69","3.77","1.26",".285","73.7 %","41.5 %","13.5 %","4.37","4.46","4.64","3.0"
"Phillies","37","28","19","278","65","583.1","8.58","3.44","1.54",".296","77.8 %","43.9 %","16.8 %","4.17","4.75","4.48","2.7"
"Cardinals","31","32","18","275","63","554.2","8.73","3.76","1.41",".278","73.9 %","45.3 %","17.7 %","4.32","4.61","4.28","2.7"
"Angels","31","35","15","290","66","584.0","9.06","3.65","1.71",".283","72.5 %","38.0 %","16.3 %","5.07","4.97","4.73","2.7"
"Giants","26","38","15","275","64","572.0","8.56","3.29","1.48",".290","70.7 %","41.2 %","16.1 %","4.61","4.64","4.47","1.3"
"Mariners","28","41","14","295","69","615.1","7.75","3.39","1.74",".300","66.5 %","42.7 %","16.9 %","5.31","5.19","4.87","1.1"
"Orioles","20","45","13","262","65","576.0","7.75","3.67","1.98",".283","69.6 %","41.3 %","18.4 %","5.53","5.67","5.11","0.2"
