"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","92","64","45","727","156","1419.1","9.84","2.74","1.12",".290","73.5 %","44.2 %","13.5 %","3.70","3.68","3.89","24.2"
"Dodgers","100","56","40","668","156","1391.2","9.36","2.41","1.20",".271","74.3 %","44.8 %","14.5 %","3.47","3.80","3.90","22.1"
"Twins","96","60","48","659","156","1413.0","8.94","2.82","1.24",".309","71.8 %","42.1 %","13.8 %","4.23","4.10","4.30","21.9"
"Astros","102","54","43","627","156","1405.2","10.25","2.79","1.45",".273","76.7 %","43.5 %","17.0 %","3.74","4.05","3.84","21.8"
"Indians","92","64","42","655","156","1388.2","9.41","2.79","1.28",".287","76.8 %","39.7 %","13.5 %","3.67","4.04","4.29","21.6"
"Nationals","85","69","36","656","154","1367.1","9.42","3.28","1.26",".299","72.7 %","42.6 %","13.8 %","4.34","4.17","4.37","21.1"
"Mets","81","74","36","631","155","1394.0","9.31","3.12","1.25",".305","72.8 %","43.1 %","13.7 %","4.30","4.12","4.33","19.3"
"Reds","73","83","45","667","156","1381.1","9.77","3.36","1.36",".287","73.9 %","44.3 %","16.6 %","4.20","4.24","4.09","18.2"
"Yankees","102","55","50","667","157","1399.0","9.53","3.13","1.54",".295","75.3 %","42.6 %","16.8 %","4.28","4.46","4.27","18.1"
"Athletics","94","62","42","685","156","1416.0","7.95","2.94","1.26",".277","74.9 %","41.6 %","12.9 %","4.04","4.40","4.74","17.0"
"Cubs","82","74","37","706","156","1392.0","8.99","3.30","1.22",".298","74.7 %","46.2 %","15.1 %","4.03","4.24","4.26","16.5"
"Red Sox","81","74","32","756","155","1410.0","10.00","3.66","1.30",".312","71.0 %","42.6 %","14.2 %","4.62","4.25","4.39","16.4"
"Padres","70","86","47","675","156","1380.1","9.27","2.88","1.34",".301","69.8 %","42.8 %","14.6 %","4.64","4.20","4.29","15.5"
"Cardinals","89","67","51","665","156","1381.1","8.66","3.37","1.18",".281","76.0 %","45.1 %","14.3 %","3.78","4.27","4.38","15.3"
"Rangers","75","81","32","633","156","1384.0","8.60","3.67","1.48",".311","70.9 %","41.7 %","15.2 %","5.02","4.83","4.85","14.1"
"Diamondbacks","80","76","42","681","156","1401.0","8.69","3.19","1.34",".295","73.6 %","43.1 %","15.0 %","4.27","4.42","4.46","13.3"
"Brewers","86","70","48","716","156","1403.1","9.24","3.51","1.39",".293","72.9 %","42.1 %","15.6 %","4.43","4.46","4.43","12.8"
"Braves","96","61","44","706","157","1407.0","8.58","3.44","1.25",".301","73.9 %","45.3 %","15.0 %","4.17","4.41","4.45","11.9"
"White Sox","68","87","31","669","155","1358.2","8.30","3.74","1.52",".304","71.1 %","43.0 %","15.7 %","4.96","4.92","4.86","11.6"
"Tigers","46","109","30","714","155","1382.1","8.56","3.40","1.58",".317","69.0 %","42.8 %","15.9 %","5.27","4.86","4.78","10.8"
"Blue Jays","63","93","31","712","156","1380.1","8.25","3.77","1.41",".299","71.6 %","43.3 %","14.7 %","4.79","4.82","4.90","8.8"
"Pirates","65","91","30","683","156","1383.0","9.01","3.61","1.54",".315","68.4 %","42.1 %","15.9 %","5.27","4.82","4.73","8.5"
"Phillies","79","75","36","686","154","1380.2","8.55","3.38","1.59",".298","74.6 %","43.3 %","17.8 %","4.53","4.89","4.57","8.2"
"Royals","57","100","37","656","157","1382.0","7.79","3.71","1.39",".311","70.4 %","44.1 %","14.7 %","5.18","4.90","4.98","7.4"
"Giants","75","81","41","704","156","1408.0","8.27","3.15","1.39",".286","72.5 %","41.9 %","14.9 %","4.37","4.56","4.62","7.3"
"Rockies","67","89","27","711","156","1384.1","7.87","3.67","1.69",".310","68.0 %","46.3 %","19.2 %","5.66","5.25","4.76","6.5"
"Angels","70","86","31","709","156","1385.2","8.77","3.56","1.66",".291","70.3 %","40.5 %","16.9 %","5.16","5.02","4.79","6.1"
"Mariners","66","90","33","668","156","1385.1","7.80","3.12","1.65",".294","67.8 %","43.6 %","16.6 %","5.09","5.02","4.83","5.8"
"Orioles","51","105","27","662","156","1385.1","7.77","3.51","1.91",".296","68.1 %","40.6 %","17.4 %","5.74","5.58","5.25","5.7"
"Marlins","54","101","25","657","155","1376.2","8.58","3.81","1.48",".280","72.1 %","38.4 %","14.3 %","4.76","4.91","5.06","5.6"
