"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"SDP","600.1","10.37","3.06","1.14",".264","79.3%","2.97","3.71","3.65","1.10"
"NYM","487.1","10.05","2.95","0.79",".289","72.6%","3.16","3.18","3.45","1.14"
"CHW","558.1","10.48","2.95","1.08",".279","77.3%","3.18","3.47","3.62","1.14"
"SFG","574.2","8.71","2.69","1.03",".262","75.8%","3.19","3.74","3.85","1.11"
"TBR","601.2","9.36","2.78","1.08",".268","75.6%","3.26","3.67","3.74","1.11"
"LAD","580.0","10.10","2.95","1.12",".263","73.1%","3.32","3.64","3.68","1.11"
"MIA","572.1","8.73","2.97","0.80",".284","72.0%","3.55","3.53","3.99","1.19"
"MIL","580.0","10.51","3.38","1.16",".271","75.1%","3.57","3.78","3.61","1.17"
"NYY","578.2","9.60","2.74","1.10",".275","72.4%","3.59","3.64","3.85","1.13"
"CHC","575.1","9.15","3.77","1.16",".282","77.6%","3.66","4.27","4.16","1.29"
"OAK","593.2","8.31","2.71","1.03",".292","73.1%","3.82","3.81","4.34","1.25"
"HOU","581.2","8.93","3.28","1.28",".262","74.4%","3.84","4.28","4.25","1.19"
"WSN","533.1","9.15","3.53","1.32",".267","73.7%","3.98","4.33","4.25","1.23"
"TOR","545.1","9.52","3.37","1.37",".290","74.7%","4.01","4.30","4.09","1.28"
"CLE","541.2","10.02","3.80","1.28",".285","74.3%","4.10","4.17","3.93","1.29"
"PHI","554.0","9.52","3.10","1.28",".297","73.4%","4.13","4.08","3.87","1.27"
"BOS","580.1","9.65","3.63","0.99",".330","72.5%","4.26","3.82","4.01","1.41"
"ATL","554.0","9.18","3.56","1.27",".292","70.4%","4.37","4.29","4.15","1.33"
"STL","568.0","8.27","4.47","0.87",".275","69.9%","4.37","4.33","4.79","1.36"
"DET","566.0","8.48","3.82","1.22",".286","70.5%","4.45","4.52","4.54","1.36"
"SEA","582.2","8.22","3.43","1.17",".288","68.8%","4.59","4.34","4.47","1.32"
"TEX","582.2","8.33","3.14","1.30",".308","71.5%","4.60","4.33","4.21","1.37"
"KCR","553.0","9.31","4.05","1.14",".303","70.5%","4.61","4.19","4.35","1.40"
"PIT","552.1","8.62","3.70","1.25",".287","69.0%","4.77","4.44","4.42","1.34"
"LAA","569.2","9.92","3.93","1.33",".304","69.3%","4.82","4.30","3.98","1.39"
"CIN","561.0","9.82","4.30","1.25",".292","68.3%","4.86","4.36","4.26","1.38"
"MIN","566.1","8.34","3.13","1.56",".296","67.9%","4.99","4.73","4.38","1.36"
"COL","559.1","8.06","3.83","1.27",".304","67.7%","5.04","4.63","4.43","1.45"
"BAL","551.0","9.10","3.36","1.60",".304","71.0%","5.08","4.69","4.31","1.39"
"ARI","574.2","8.27","3.35","1.43",".301","67.5%","5.14","4.64","4.56","1.40"
