"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Indians","15","11","9","114","26","228.0","10.14","3.36","0.99",".285","75.4 %","39.0 %","10.7 %","3.51","3.57","4.10","4.9"
"Yankees","16","11","6","113","27","242.1","9.66","3.53","1.23",".282","74.5 %","43.6 %","13.8 %","3.86","3.98","4.09","4.6"
"Reds","11","15","8","123","26","228.1","9.38","3.47","0.79",".301","78.6 %","43.9 %","10.6 %","3.27","3.50","3.93","4.4"
"Rays","17","9","11","119","26","238.0","9.83","2.95","0.98",".277","81.1 %","43.8 %","12.3 %","2.99","3.44","3.72","4.3"
"Astros","16","11","8","98","27","236.0","9.80","2.48","1.22",".253","72.1 %","41.1 %","14.2 %","3.66","3.65","3.71","4.3"
"Pirates","12","13","8","100","25","222.0","9.12","2.68","0.97",".281","72.4 %","41.7 %","10.2 %","3.49","3.54","4.15","4.2"
"Twins","15","9","8","102","24","212.0","8.49","3.48","1.19",".302","71.8 %","40.2 %","12.0 %","4.46","4.25","4.64","3.6"
"Padres","16","11","14","116","27","243.0","9.26","2.78","1.19",".265","75.7 %","44.3 %","13.7 %","3.56","3.84","3.95","3.4"
"Blue Jays","13","14","8","115","27","240.2","8.94","3.63","1.01",".261","75.2 %","44.5 %","11.4 %","3.33","3.94","4.35","3.4"
"Tigers","12","13","11","116","25","222.2","8.61","3.52","1.17",".288","72.9 %","43.0 %","12.7 %","4.08","4.21","4.46","3.3"
"Rockies","13","14","4","126","27","250.1","8.05","3.56","1.08",".291","73.9 %","47.8 %","13.6 %","4.21","4.22","4.34","3.2"
"Nationals","11","14","3","115","25","222.0","9.81","3.41","1.30",".311","68.4 %","42.2 %","14.2 %","5.03","4.12","4.19","3.1"
"Athletics","14","15","6","136","29","258.1","7.98","3.38","1.22",".285","71.1 %","39.0 %","11.2 %","4.67","4.42","4.96","2.8"
"Giants","11","16","7","108","27","240.0","8.81","2.66","1.09",".275","75.7 %","42.6 %","13.0 %","3.45","3.73","3.93","2.7"
"Dodgers","18","11","9","132","29","258.0","8.83","2.72","1.36",".268","72.8 %","43.1 %","15.1 %","4.08","4.21","4.15","2.7"
"Mariners","18","12","12","132","30","272.0","7.94","3.14","1.42",".296","70.7 %","42.2 %","14.0 %","4.37","4.59","4.69","2.4"
"Phillies","15","12","7","121","27","248.2","8.61","3.22","1.38",".321","75.2 %","44.8 %","15.0 %","4.34","4.42","4.38","2.0"
"Marlins","8","19","5","117","27","241.0","9.30","3.51","1.27",".298","71.5 %","41.6 %","13.3 %","4.67","4.29","4.48","2.0"
"Cubs","13","12","3","110","25","217.1","9.44","4.27","1.28",".295","74.1 %","50.4 %","19.4 %","4.14","4.38","3.93","2.0"
"Diamondbacks","16","12","9","106","28","251.0","8.93","3.59","1.47",".285","75.3 %","42.9 %","17.1 %","4.41","4.63","4.33","1.9"
"Mets","13","13","8","108","26","229.1","9.97","4.08","1.41",".327","65.1 %","42.4 %","14.6 %","5.53","4.49","4.49","1.9"
"Red Sox","11","16","7","121","27","235.2","9.70","3.90","1.60",".311","68.2 %","42.5 %","16.8 %","5.31","4.73","4.44","1.7"
"Angels","11","17","6","129","28","247.0","8.56","4.04","1.57",".290","74.2 %","40.3 %","15.5 %","4.88","5.02","4.90","1.0"
"Brewers","15","13","8","122","28","245.0","9.26","4.04","1.76",".302","73.8 %","40.9 %","19.2 %","5.22","5.06","4.45","0.8"
"Royals","9","18","4","118","27","237.1","8.23","4.17","1.29",".312","71.3 %","44.3 %","15.0 %","5.23","4.78","4.74","0.7"
"White Sox","10","14","5","107","24","206.0","8.65","4.11","1.66",".304","67.3 %","41.2 %","15.5 %","5.72","5.11","4.98","0.7"
"Braves","12","14","4","123","26","229.0","9.16","4.76","1.34",".300","72.3 %","44.9 %","15.6 %","4.79","4.78","4.67","0.5"
"Rangers","13","13","7","108","26","228.1","7.73","4.61","1.62",".304","70.9 %","38.8 %","15.7 %","5.72","5.50","5.34","0.2"
"Cardinals","16","10","10","121","26","231.0","9.27","3.97","1.99",".259","80.6 %","42.5 %","21.5 %","4.44","5.42","4.51","-0.7"
"Orioles","10","18","5","118","28","246.0","7.39","3.51","2.52",".293","71.6 %","39.7 %","21.0 %","6.11","6.48","5.37","-1.5"
