"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Mets","2","4","0","22","6","53.0","10.87","3.57","0.68",".326","62.9 %","51.1 %","9.5 %","4.92","3.06","3.59","1.3"
"Red Sox","3","3","1","28","6","56.0","11.25","4.34","0.80",".331","76.5 %","42.5 %","9.8 %","3.70","3.24","3.81","1.2"
"Yankees","6","1","3","32","7","68.0","8.74","3.71","1.46",".254","69.0 %","37.1 %","14.1 %","4.50","4.57","4.66","1.2"
"Phillies","3","4","1","27","7","61.0","8.56","3.39","0.74",".352","74.4 %","44.0 %","8.1 %","3.98","3.67","4.54","1.1"
"Reds","3","3","2","27","6","52.0","7.44","2.77","0.69",".327","76.7 %","42.9 %","10.0 %","3.63","3.69","4.16","1.1"
"Twins","4","2","1","25","6","52.0","7.62","2.77","1.04",".327","71.4 %","41.0 %","10.5 %","4.15","4.04","4.62","1.1"
"Angels","3","4","1","36","7","67.0","9.00","4.16","1.07",".310","69.1 %","42.9 %","12.5 %","4.84","4.16","4.43","1.0"
"Diamondbacks","5","2","2","25","7","62.0","8.13","2.90","1.02",".285","83.8 %","46.9 %","11.5 %","2.90","3.91","4.31","1.0"
"Cubs","4","2","1","25","6","53.0","9.00","4.08","0.68",".221","73.0 %","53.0 %","10.3 %","3.40","3.59","4.01","1.0"
"Nationals","2","4","1","25","6","53.0","10.02","3.40","1.36",".281","65.1 %","41.5 %","14.0 %","4.75","4.11","4.20","0.9"
"Rockies","5","1","3","28","6","54.0","7.83","3.67","1.00",".303","74.3 %","44.9 %","12.0 %","4.33","4.17","4.49","0.8"
"Padres","5","0","4","22","5","46.0","10.17","3.33","1.17",".219","90.9 %","47.2 %","14.6 %","2.35","3.81","3.81","0.8"
"Indians","3","3","2","27","6","54.0","8.33","3.33","1.17",".278","76.4 %","43.9 %","13.5 %","3.67","4.13","4.28","0.7"
"Athletics","3","3","0","27","6","52.2","9.74","3.08","1.20",".353","75.1 %","40.8 %","13.7 %","4.44","3.78","3.90","0.7"
"Pirates","0","7","0","27","7","61.0","7.67","2.80","1.18",".339","62.4 %","43.2 %","10.7 %","6.05","4.17","4.80","0.7"
"Astros","3","4","0","26","7","63.0","9.00","2.71","1.71",".252","66.4 %","40.5 %","19.0 %","4.86","4.61","4.04","0.5"
"Blue Jays","3","2","1","20","5","45.0","6.80","3.40","1.20",".218","77.5 %","42.3 %","12.0 %","3.40","4.56","4.94","0.5"
"Dodgers","4","2","2","25","6","52.0","9.52","3.12","1.38",".264","77.2 %","46.3 %","17.8 %","3.98","4.23","3.88","0.5"
"Giants","3","2","2","19","5","45.0","8.00","2.60","1.00",".279","69.6 %","44.7 %","10.9 %","4.20","3.73","4.24","0.4"
"Orioles","2","4","1","23","6","52.0","6.92","2.77","2.08",".285","70.3 %","40.1 %","16.7 %","5.02","5.69","5.33","0.3"
"Tigers","3","3","2","33","6","51.2","8.19","4.53","1.39",".362","65.6 %","41.5 %","13.6 %","6.79","5.01","5.17","0.3"
"Royals","2","4","0","27","6","52.1","7.57","4.30","1.03",".309","72.0 %","50.3 %","14.6 %","4.82","4.60","4.61","0.3"
"Braves","2","4","1","25","6","52.0","9.52","4.50","1.56",".307","67.8 %","43.7 %","17.0 %","5.02","4.83","4.52","0.1"
"Rays","3","2","3","27","5","47.0","9.00","4.79","1.53",".265","83.9 %","38.8 %","16.3 %","3.64","5.07","4.84","0.1"
"Brewers","2","4","1","27","6","51.0","9.18","4.24","1.76",".380","71.8 %","39.6 %","20.0 %","6.18","5.11","4.43","0.1"
"Rangers","2","5","1","29","7","61.0","8.70","5.75","1.77",".307","60.3 %","34.0 %","16.7 %","7.23","5.82","5.51","0.1"
"Marlins","2","4","2","26","6","52.0","9.00","3.81","1.90",".246","75.1 %","43.6 %","19.0 %","4.67","5.38","4.76","0.1"
"White Sox","2","3","0","22","5","42.0","9.00","3.00","2.57",".333","73.7 %","39.5 %","20.7 %","6.21","5.92","4.83","0.0"
"Mariners","2","4","0","23","6","53.0","8.66","3.57","2.21",".296","71.7 %","42.6 %","22.0 %","4.58","5.70","4.63","0.0"
"Cardinals","5","1","4","28","6","54.0","10.67","2.67","2.83",".215","86.0 %","36.0 %","29.8 %","4.83","5.86","3.77","-0.4"
