"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","65","48","30","508","113","1027.1","9.58","2.83","1.09",".286","75.0 %","44.8 %","13.3 %","3.59","3.70","3.92","16.8"
"Dodgers","74","40","30","464","114","1014.2","9.19","2.35","1.17",".273","73.3 %","45.8 %","14.2 %","3.43","3.77","3.88","16.5"
"Twins","69","42","32","456","111","1006.0","8.72","2.76","1.23",".295","72.6 %","41.5 %","13.4 %","4.02","4.12","4.34","16.3"
"Nationals","58","53","28","476","111","981.2","9.62","3.27","1.19",".307","71.2 %","42.4 %","13.0 %","4.49","4.05","4.33","15.5"
"Indians","66","45","30","465","111","987.0","9.50","2.85","1.29",".285","76.1 %","40.5 %","13.8 %","3.74","4.06","4.25","15.3"
"Astros","73","40","29","443","113","1016.1","10.12","2.85","1.45",".261","76.8 %","43.5 %","16.8 %","3.69","4.10","3.90","15.1"
"Athletics","64","48","27","496","113","1021.1","7.69","3.15","1.14",".277","73.7 %","40.8 %","11.3 %","4.06","4.34","4.90","13.6"
"Reds","52","58","31","483","110","975.0","9.67","3.42","1.29",".292","75.4 %","44.6 %","16.1 %","4.02","4.19","4.07","12.8"
"Yankees","72","39","39","470","111","989.2","9.34","3.08","1.58",".296","75.3 %","43.0 %","17.0 %","4.33","4.54","4.29","12.7"
"Mets","55","56","27","447","111","999.2","9.24","3.30","1.28",".305","71.8 %","42.9 %","13.5 %","4.49","4.24","4.46","12.3"
"Cubs","60","51","28","486","111","991.0","8.70","3.21","1.22",".294","75.0 %","45.9 %","14.9 %","3.96","4.26","4.28","11.6"
"Red Sox","59","55","21","515","114","1028.1","10.01","3.50","1.36",".317","69.9 %","42.2 %","14.7 %","4.81","4.28","4.33","11.4"
"Rangers","57","54","24","444","111","988.1","8.67","3.54","1.49",".313","71.3 %","41.6 %","15.3 %","5.00","4.78","4.75","10.9"
"Diamondbacks","56","56","26","467","112","1008.2","8.77","3.11","1.28",".292","72.6 %","42.7 %","14.5 %","4.34","4.28","4.37","10.7"
"Brewers","57","56","31","494","113","1018.1","9.21","3.46","1.38",".305","71.5 %","41.8 %","15.6 %","4.69","4.44","4.38","9.4"
"Cardinals","58","52","34","471","110","975.2","8.81","3.49","1.29",".288","74.9 %","45.3 %","16.1 %","4.08","4.43","4.33","9.1"
"Padres","51","60","37","471","111","985.1","8.94","2.74","1.37",".297","70.1 %","43.6 %","15.0 %","4.58","4.26","4.28","8.8"
"Tigers","32","75","22","495","108","958.0","8.32","3.28","1.51",".309","68.4 %","42.8 %","15.4 %","5.12","4.78","4.74","8.7"
"Rockies","52","60","20","497","112","1004.0","8.09","3.43","1.51",".313","68.5 %","46.5 %","17.5 %","5.41","4.86","4.56","8.3"
"White Sox","48","61","23","472","109","954.1","8.12","3.68","1.50",".299","70.8 %","42.7 %","15.3 %","4.93","4.92","4.89","7.4"
"Blue Jays","45","69","20","499","114","1010.0","8.28","3.75","1.38",".305","72.0 %","43.8 %","14.7 %","4.75","4.75","4.81","6.8"
"Marlins","42","67","21","453","109","972.1","8.77","3.73","1.30",".284","73.1 %","39.2 %","13.0 %","4.38","4.55","4.85","6.8"
"Braves","66","47","30","506","113","1011.2","8.55","3.75","1.27",".299","72.9 %","44.6 %","14.7 %","4.32","4.56","4.61","6.3"
"Pirates","48","63","23","470","111","986.0","8.88","3.61","1.51",".307","69.8 %","41.3 %","15.2 %","5.01","4.79","4.77","5.9"
"Angels","56","57","25","501","113","1004.1","8.88","3.60","1.60",".290","71.9 %","39.6 %","15.9 %","4.94","4.89","4.77","5.5"
"Royals","40","73","25","451","113","995.2","7.83","3.64","1.36",".310","70.7 %","44.1 %","14.8 %","5.06","4.84","4.89","5.5"
"Giants","56","56","30","489","112","1015.0","8.59","3.05","1.41",".295","72.7 %","42.0 %","15.4 %","4.39","4.51","4.47","5.4"
"Phillies","58","53","27","480","111","1002.0","8.68","3.38","1.66",".298","75.2 %","42.9 %","18.3 %","4.58","4.96","4.54","4.8"
"Mariners","47","67","23","472","114","1008.2","7.75","3.12","1.74",".297","66.9 %","42.8 %","17.1 %","5.21","5.15","4.86","3.5"
"Orioles","38","73","23","459","111","985.1","7.90","3.61","1.99",".290","68.8 %","40.3 %","17.9 %","5.68","5.70","5.25","2.3"
