"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","9078.0","5","-1","2","-1","0","4","46","31","87","1248","1032",".827","474","","18.0","6.3","0.0","6.3","6.0","18.5","6.9","42.5"
"Royals","8961.0","1","3","0","0","-2","4","8","10","21","1475","1171",".794","417","","7.0","-0.2","2.1","7.7","11.7","21.2","4.5","24.2"
"Rays","9246.0","7","-1","-2","3","6","2","21","18","51","1240","985",".794","447","","13.3","7.8","0.5","5.6","-3.7","10.2","5.6","22.5"
"Phillies","9018.0","1","0","6","0","4","-7","-3","4","9","1385","1117",".807","360","","9.2","6.9","-2.9","2.8","5.2","12.0","5.1","21.0"
"Twins","9054.0","4","-2","-3","-2","12","4","7","12","30","1343","1085",".808","451","","5.2","11.2","0.4","18.3","-10.2","19.7","8.4","19.9"
"Athletics","9192.0","-9","-5","2","-6","8","-4","18","13","21","1477","1221",".827","381","","-15.2","6.2","-2.0","3.6","9.0","16.8","5.5","19.8"
"Angels","9039.0","-7","-3","-1","0","-3","-5","12","3","-3","1387","1133",".817","384","","-16.2","2.1","0.1","7.2","6.0","15.4","3.9","14.4"
"Cubs","8919.0","-2","1","0","7","4","4","3","6","18","1382","1138",".823","354","","-15.1","1.0","5.9","2.6","4.8","14.3","3.0","12.3"
"Indians","8883.0","14","1","1","-1","4","6","5","19","50","1265","1040",".822","372","","16.7","-0.2","-1.5","2.1","4.3","4.7","1.0","11.7"
"Dodgers","9132.0","7","2","0","2","7","5","40","41","101","1270","1017",".801","439","","18.3","7.8","-0.2","7.0","-5.6","9.1","5.9","9.1"
"Padres","8868.0","20","5","0","-3","2","-2","-6","-3","6","1377","1100",".799","398","","36.3","-4.2","-0.5","8.9","3.8","8.0","-0.1","8.0"
"Giants","9135.0","9","0","0","-10","4","4","25","8","40","1394","1123",".806","382","","18.2","2.5","-3.5","10.0","-2.9","6.1","2.5","5.1"
"Red Sox","9255.0","5","0","2","-3","8","6","-34","3","-12","1326","1087",".820","354","","26.8","9.4","-3.2","-6.2","0.9","0.9","2.9","3.9"
"Marlins","8751.0","0","-4","0","2","-6","7","16","2","16","1271","1028",".809","369","","-1.9","-2.1","1.1","3.4","-0.1","2.4","0.1","3.4"
"Astros","9147.0","-2","-1","-1","-3","-1","15","35","36","75","1214","996",".820","470","","-6.3","-2.9","-5.1","9.2","3.6","4.7","0.3","0.7"
"Reds","8775.0","2","1","-2","4","3","2","27","10","46","1233","981",".796","389","","1.7","-1.4","1.6","2.3","1.6","4.1","0.6","-0.9"
"Brewers","9165.0","12","-3","-3","0","-1","9","19","3","32","1243","987",".794","434","","34.2","1.2","1.6","4.1","-4.9","2.0","0.9","-1.0"
"Rangers","8895.0","-6","1","-5","3","-5","-11","-31","12","-45","1432","1140",".796","343","","-22.5","-5.5","3.2","-0.5","5.9","3.1","-0.9","-3.9"
"White Sox","8589.0","-7","2","2","5","-1","2","-39","8","-27","1308","1050",".803","416","","-22.9","-1.0","3.0","-3.8","-7.1","-8.8","-2.7","-6.8"
"Cardinals","8781.0","-12","-1","3","4","1","-3","27","22","53","1301","1063",".817","353","","-24.7","3.7","2.2","0.6","3.9","10.5","4.0","-7.3"
"Rockies","9036.0","-11","1","2","6","-13","-3","-11","18","-11","1419","1134",".799","436","","-17.7","-4.9","1.6","-1.8","-3.6","-8.7","-3.4","-7.7"
"Yankees","8907.0","-3","2","1","0","2","5","-6","-8","-12","1292","1004",".777","437","","-9.1","-3.7","2.2","-4.8","-1.9","-8.3","-3.5","-10.3"
"Blue Jays","9090.0","8","4","3","-2","0","-1","-19","8","3","1407","1116",".793","424","","20.2","-2.4","-2.7","-19.9","6.4","-18.6","-4.7","-10.6"
"Nationals","8835.0","-7","0","-1","-2","3","2","-22","1","-26","1269","1039",".819","380","","-9.7","-2.0","-3.3","-6.8","2.0","-10.1","-2.9","-11.1"
"Braves","9105.0","13","1","-2","-2","-1","-5","15","-2","14","1411","1124",".797","392","","22.7","1.9","-0.2","-11.3","1.7","-7.9","-0.9","-11.9"
"Pirates","8874.0","-8","-3","1","1","-2","-4","-23","7","-31","1320","1043",".790","382","","-22.6","-0.1","0.2","-11.1","-7.0","-18.0","-5.4","-17.0"
"Tigers","8622.0","-2","1","-1","-3","-10","-4","-24","5","-42","1395","1092",".783","364","","-11.9","-9.0","-1.1","-9.6","2.4","-17.3","-6.5","-18.3"
"Orioles","8868.0","-17","-1","0","2","-18","-11","-31","-1","-78","1336","1085",".812","510","","-29.0","-16.5","1.5","-1.7","-12.4","-29.1","-12.2","-31.1"
"Mariners","9078.0","-5","-2","-1","-3","-3","-13","-33","1","-65","1512","1196",".791","430","","-16.6","-9.8","-1.6","-7.2","-14.0","-32.6","-8.6","-35.6"
"Mets","8997.0","-11","0","0","0","4","-3","-53","0","-66","1342","1076",".802","346","","-13.7","-2.0","0.4","-17.0","-4.8","-23.5","-5.8","-44.1"
