"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"DET","46.2","7.91","3.66","0.96",".266","91.1%","1.93","4.34","4.77","1.24"
"LAD","61.0","8.70","3.98","0.89",".163","85.0%","2.07","3.94","4.57","0.93"
"KCR","64.1","8.81","4.34","0.84",".306","77.4%","2.94","3.91","4.65","1.46"
"NYY","52.0","9.35","3.81","1.04",".268","81.6%","2.94","3.91","4.19","1.25"
"MIA","55.0","8.35","2.29","1.15",".277","79.7%","2.95","3.89","3.59","1.13"
"TOR","63.0","10.29","1.29","0.86",".335","79.6%","3.00","2.74","2.99","1.13"
"SFG","52.0","7.10","2.60","1.04",".301","82.8%","3.12","4.13","4.74","1.29"
"CIN","50.0","7.92","3.42","0.72",".283","76.2%","3.42","3.82","4.24","1.24"
"MIL","52.0","10.90","2.60","0.87",".289","74.5%","3.46","3.03","3.04","1.06"
"SEA","57.0","6.32","1.58","1.42",".272","77.6%","3.47","4.45","4.38","1.16"
"NYM","54.0","9.17","2.17","1.50",".250","78.5%","3.67","4.24","4.11","1.06"
"ATL","45.0","8.80","3.40","1.60",".219","78.4%","3.80","4.79","4.17","1.11"
"TBR","45.0","7.00","2.00","1.40",".278","80.9%","3.80","4.56","4.20","1.20"
"SDP","51.0","8.29","2.82","1.06",".224","65.0%","3.88","3.85","4.41","1.02"
"PHI","56.0","9.80","1.61","0.96",".316","66.6%","4.02","3.02","3.34","1.16"
"STL","53.1","7.43","4.22","0.84",".305","75.7%","4.05","4.14","4.38","1.44"
"CLE","55.0","8.51","2.62","1.80",".307","77.2%","4.09","4.80","4.07","1.35"
"ARI","60.1","7.16","4.77","1.19",".289","65.2%","4.18","4.89","5.22","1.56"
"WSN","51.1","10.87","2.81","1.58",".315","74.9%","4.21","4.20","3.64","1.29"
"BOS","66.0","9.68","3.41","1.64",".292","74.8%","4.36","4.97","4.35","1.32"
"OAK","54.0","8.50","2.00","1.67",".293","74.1%","4.50","4.46","3.96","1.22"
"COL","50.1","10.55","3.40","1.43",".295","68.8%","4.65","4.14","3.66","1.25"
"CHW","61.0","10.33","2.21","1.62",".304","67.7%","4.87","4.05","3.62","1.21"
"HOU","54.0","8.50","2.50","1.17",".325","68.0%","5.00","3.96","3.65","1.35"
"TEX","62.0","7.40","3.63","2.18",".279","73.2%","5.23","5.97","5.11","1.45"
"PIT","63.0","8.29","3.71","1.29",".298","67.2%","5.43","4.66","5.08","1.40"
"MIN","53.0","7.64","4.08","1.87",".290","65.6%","6.11","5.75","5.16","1.51"
"LAA","43.0","10.26","4.60","1.47",".367","60.4%","6.28","4.89","4.71","1.77"
"BAL","54.0","7.83","2.83","1.67",".299","54.7%","7.17","5.00","4.69","1.37"
"CHC","51.0","7.06","3.71","1.94",".289","51.0%","7.59","6.11","5.42","1.49"
