"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"HOU","5037","695","43","9.1%","19.5%",".173",".305",".268",".339",".441",".336","118","-7.9","29.3%","88.1%","40.3%"
"TOR","4812","642","62","8.0%","20.8%",".187",".299",".263",".326",".450",".333","109","-3.0","31.5%","86.9%","41.3%"
"BOS","4952","669","36","8.2%","22.6%",".187",".306",".259",".326",".446",".331","106","-1.4","34.2%","83.7%","41.9%"
"CIN","5046","655","27","9.0%","23.8%",".181",".301",".250",".330",".431",".329","102","-13.9","31.2%","85.3%","38.4%"
"CHW","4947","664","53","9.7%","23.3%",".168",".307",".253",".333",".421",".328","110","4.3","33.0%","85.1%","39.0%"
"SFG","4931","627","55","9.6%","24.0%",".191",".290",".244",".323",".435",".326","105","-8.8","28.2%","84.5%","38.7%"
"LAD","5083","668","50","10.0%","23.1%",".178",".288",".242",".331",".421",".325","107","8.3","27.9%","84.7%","40.0%"
"ATL","4875","635","55","9.6%","23.8%",".187",".288",".243",".323",".431",".324","100","5.9","31.5%","83.2%","40.2%"
"WSN","4789","567","49","8.7%","22.0%",".158",".308",".257",".332",".415",".324","99","-16.5","29.2%","85.7%","39.7%"
"MIN","4915","598","40","8.9%","23.0%",".182",".283",".242",".318",".424",".320","102","-4.9","30.7%","84.2%","40.8%"
"TBR","4995","696","68","9.5%","25.6%",".183",".294",".240",".319",".422",".320","107","9.2","30.5%","81.3%","39.9%"
"NYY","4881","565","54","10.7%","24.5%",".164",".289",".237",".326",".401",".318","101","-9.1","28.2%","83.1%","41.6%"
"COL","4825","593","65","8.2%","22.3%",".163",".299",".250",".317",".412",".315","82","12.3","32.7%","85.4%","35.9%"
"SDP","4981","608","97","10.0%","21.9%",".160",".285",".241",".323",".402",".314","98","0.7","27.6%","86.0%","40.6%"
"LAA","4869","596","57","7.4%","23.3%",".167",".300",".249",".312",".416",".314","99","0.2","33.4%","85.1%","34.7%"
"MIL","4946","606","66","9.6%","24.2%",".166",".284",".234",".319",".399",".313","94","8.8","29.9%","84.0%","38.6%"
"PHI","4875","586","68","9.4%","23.4%",".166",".287",".239",".317",".405",".312","94","8.4","30.8%","83.4%","37.2%"
"OAK","4916","579","77","9.0%","22.6%",".169",".277",".235",".315",".404",".312","102","4.7","29.5%","85.3%","39.5%"
"CLE","4694","569","83","7.9%","23.1%",".174",".278",".237",".305",".411",".309","93","6.5","32.1%","83.9%","38.8%"
"BAL","4771","531","44","7.4%","23.7%",".165",".289",".241",".303",".406",".307","94","-2.6","34.0%","84.0%","36.6%"
"STL","4801","534","66","8.2%","22.0%",".156",".283",".239",".312",".395",".307","93","6.2","31.2%","84.6%","37.8%"
"CHC","4838","559","61","8.2%","26.9%",".168",".288",".231",".305",".398",".306","91","-5.5","31.9%","83.2%","38.9%"
"DET","4815","561","68","8.2%","25.8%",".155",".300",".240",".306",".395",".304","90","2.7","32.6%","83.0%","38.4%"
"NYM","4664","488","38","8.5%","23.8%",".146",".288",".235",".312",".381",".303","93","-12.2","33.0%","84.3%","37.8%"
"ARI","5021","554","33","9.0%","23.9%",".145",".297",".237",".312",".382",".302","86","3.7","30.6%","84.3%","35.8%"
"KCR","4794","541","97","7.0%","21.5%",".146",".289",".245",".303",".391",".301","88","8.4","34.6%","85.9%","38.5%"
"SEA","4830","550","53","8.8%","25.7%",".159",".272",".223",".299",".382",".298","92","-5.2","30.5%","83.4%","37.0%"
"MIA","4832","519","92","7.8%","26.0%",".140",".301",".237",".303",".377",".296","88","3.8","33.5%","83.9%","37.1%"
"PIT","4811","470","41","8.5%","22.2%",".128",".286",".233",".304",".362",".291","81","-2.3","30.5%","87.3%","33.8%"
"TEX","4777","503","74","7.3%","23.6%",".147",".275",".229",".293",".376",".291","84","-2.1","32.8%","83.3%","36.1%"
