"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","5618","785","94","9.8%","21.7%",".192",".304",".260",".336",".452",".341","122","18.2","29.3%","84.2%","41.6%"
"ATL","5483","721","81","7.8%","24.5%",".191",".302",".253",".318",".444",".330","110","9.4","34.7%","82.9%","43.6%"
"TOR","5571","686","63","8.1%","20.1%",".166",".302",".261",".326",".426",".328","115","-10.3","31.0%","85.5%","44.3%"
"STL","5632","713","92","8.7%","19.8%",".170",".291",".254",".327",".424",".328","115","7.2","33.1%","86.2%","37.2%"
"NYY","5580","728","93","10.0%","22.3%",".186",".273",".240",".323",".426",".326","115","-6.6","30.9%","84.5%","41.2%"
"HOU","5510","673","77","8.9%","19.6%",".177",".277",".248",".321",".425",".325","113","-3.9","32.2%","87.5%","39.1%"
"NYM","5634","695","60","8.3%","19.7%",".151",".301",".258",".331",".409",".324","114","-9.8","32.9%","86.3%","37.1%"
"PHI","5467","679","91","7.8%","22.2%",".171",".299",".254",".317",".425",".322","106","8.1","34.1%","85.9%","41.4%"
"BOS","5579","668","51","7.6%","22.3%",".151",".316",".259",".321",".410",".318","103","-9.5","33.8%","84.4%","41.1%"
"MIL","5527","664","84","9.4%","23.7%",".176",".278",".235",".316",".411",".318","104","3.2","29.2%","85.3%","39.9%"
"MIN","5510","631","30","8.5%","22.0%",".157",".293",".248",".316",".405",".316","108","-14.4","32.2%","86.0%","40.9%"
"COL","5507","648","42","7.5%","21.3%",".143",".307",".256",".318",".399",".314","87","-3.9","33.6%","87.2%","37.0%"
"CHW","5594","642","51","6.5%","20.5%",".132",".310",".261",".316",".393",".311","103","-3.9","36.4%","86.1%","40.6%"
"SEA","5462","604","74","9.6%","22.6%",".160",".269",".229",".312",".389",".308","106","-8.6","29.8%","85.9%","35.6%"
"TEX","5472","651","120","7.6%","23.7%",".158",".290",".242",".305",".400",".308","100","20.8","33.5%","83.5%","39.3%"
"SDP","5610","643","43","9.3%","21.2%",".142",".286",".240",".318",".382",".308","101","4.9","30.4%","86.0%","37.4%"
"CHC","5484","589","98","8.2%","23.6%",".149",".296",".241",".312",".390",".308","97","-6.0","32.2%","84.0%","36.3%"
"SFG","5498","631","60","9.4%","24.0%",".154",".280",".230",".313",".383",".307","99","1.6","29.9%","84.6%","36.8%"
"WSN","5432","561","64","7.5%","19.8%",".132",".296",".251",".314",".383",".307","95","-22.4","33.7%","85.9%","35.4%"
"TBR","5434","619","86","8.2%","22.9%",".140",".299",".243",".311",".383",".305","104","-2.1","32.3%","83.9%","38.0%"
"ARI","5420","639","82","9.1%","21.9%",".158",".270",".230",".306",".388",".305","93","19.7","29.2%","85.8%","35.8%"
"BAL","5418","604","86","7.7%","23.0%",".154",".284",".236",".304",".390",".304","98","13.2","34.6%","85.0%","39.1%"
"CLE","5534","606","96","7.3%","18.1%",".128",".291",".251",".314",".379",".303","97","8.6","34.1%","88.2%","33.0%"
"CIN","5452","614","54","7.5%","23.7%",".141",".294",".239",".307",".380",".303","87","-13.7","33.6%","86.2%","35.1%"
"KCR","5448","571","96","7.7%","21.7%",".133",".292",".242",".305",".375",".299","91","0.8","33.6%","85.1%","37.4%"
"LAA","5383","560","75","7.7%","26.1%",".158",".283",".229",".294",".387",".297","91","1.8","31.3%","83.5%","35.5%"
"MIA","5393","523","114","7.3%","23.9%",".132",".282",".229",".293",".361",".289","87","-1.1","34.1%","85.3%","37.1%"
"PIT","5332","523","75","7.7%","25.9%",".143",".276",".221",".287",".363",".286","82","3.3","31.7%","86.6%","37.2%"
"OAK","5321","513","71","7.3%","23.9%",".130",".265",".216",".280",".346",".277","84","1.1","33.6%","84.6%","34.3%"
"DET","5269","482","40","6.5%","24.4%",".113",".289",".228",".284",".341",".276","79","-6.8","36.6%","84.9%","35.9%"
