"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1296.2","8.98","2.57","0.94",".253","78.3%","2.80","3.47","3.71","1.05"
"HOU","1309.1","9.38","2.86","0.84",".266","77.0%","2.94","3.32","3.61","1.09"
"TBR","1298.2","8.78","2.36","1.07",".277","75.0%","3.33","3.63","3.66","1.14"
"NYY","1311.0","9.01","2.67","0.98",".269","75.9%","3.35","3.55","3.65","1.12"
"ATL","1305.1","9.71","3.11","0.93",".286","74.4%","3.47","3.46","3.58","1.19"
"SEA","1295.0","8.67","2.75","1.15",".279","77.2%","3.48","3.89","3.93","1.19"
"NYM","1316.2","9.75","2.73","1.03",".296","76.0%","3.53","3.48","3.47","1.18"
"CLE","1306.0","8.55","2.81","1.09",".276","74.0%","3.58","3.83","3.84","1.18"
"STL","1315.2","7.35","3.00","0.93",".286","74.3%","3.78","3.95","4.03","1.26"
"LAA","1295.0","8.56","3.41","1.10",".277","73.3%","3.85","4.05","4.05","1.25"
"CHW","1313.2","9.05","3.31","1.04",".292","71.5%","3.88","3.80","3.91","1.28"
"SFG","1290.0","8.56","2.80","0.87",".307","69.8%","3.89","3.51","3.66","1.28"
"BAL","1283.2","7.61","2.74","1.09",".295","74.1%","3.90","4.04","4.10","1.28"
"SDP","1306.0","9.03","2.87","1.10",".285","72.9%","3.90","3.83","3.84","1.21"
"TOR","1310.0","8.66","2.62","1.17",".294","73.7%","3.90","3.90","3.85","1.23"
"PHI","1290.1","8.91","2.92","0.94",".298","71.4%","3.91","3.61","3.74","1.24"
"MIN","1301.0","8.41","3.02","1.16",".284","73.9%","3.94","4.06","4.10","1.25"
"MIL","1299.0","9.46","3.26","1.23",".283","72.5%","3.94","3.99","3.70","1.24"
"MIA","1300.0","8.90","3.24","1.12",".296","73.4%","3.97","3.98","3.80","1.28"
"DET","1277.0","7.55","3.14","1.06",".284","70.2%","4.14","4.12","4.32","1.29"
"CHC","1303.2","8.62","3.40","1.35",".289","72.7%","4.22","4.41","4.05","1.32"
"TEX","1294.0","8.30","3.68","1.03",".292","70.9%","4.23","4.13","4.10","1.35"
"ARI","1290.1","7.55","3.12","1.14",".282","70.2%","4.28","4.24","4.34","1.29"
"BOS","1300.0","8.47","3.26","1.07",".302","69.3%","4.45","4.02","4.07","1.33"
"OAK","1293.2","7.50","3.23","1.26",".287","70.7%","4.58","4.48","4.44","1.34"
"PIT","1288.0","7.82","3.71","1.04",".305","69.1%","4.65","4.29","4.37","1.43"
"KCR","1285.1","7.53","3.80","1.15",".311","70.5%","4.74","4.48","4.44","1.48"
"CIN","1292.2","8.93","3.82","1.37",".299","71.5%","4.85","4.60","4.30","1.39"
"COL","1285.1","7.31","3.41","1.17",".309","67.2%","5.02","4.43","4.32","1.44"
"WSN","1276.2","7.83","3.59","1.53",".298","70.8%","5.03","4.93","4.50","1.44"
