"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Indians","11517.0","18","5","1","-1","7","11","7","15","64","1668","1372",".823","483","","11.9","10.2","-2.4","10.2","9.1","27.1","6.6","34.1"
"Diamondbacks","11592.0","3","-1","1","0","6","7","35","37","89","1646","1343",".816","610","","4.1","7.7","-1.4","8.2","3.9","18.5","4.6","32.8"
"Athletics","11658.0","-10","-4","1","-8","7","-6","31","13","24","1885","1556",".826","477","","-6.3","6.4","-1.5","10.0","16.5","31.4","5.5","31.4"
"Cardinals","11388.0","-14","0","3","2","2","-7","51","25","75","1691","1387",".820","492","","-12.1","1.8","5.5","6.2","9.6","23.1","4.4","30.1"
"Phillies","11481.0","2","-3","9","-3","3","-8","15","6","27","1798","1449",".806","470","","7.0","7.2","-7.0","7.6","6.5","14.3","3.4","27.3"
"Braves","11637.0","14","-2","-2","-1","3","-1","21","-3","25","1805","1434",".795","495","","16.6","5.7","1.7","-25.2","10.5","-7.3","0.4","23.0"
"Royals","11415.0","1","3","2","2","-2","6","-2","1","11","1903","1513",".795","524","","2.8","-3.7","4.7","3.3","12.6","16.9","2.0","22.9"
"Cubs","11382.0","-1","2","-1","6","2","3","0","-3","3","1780","1450",".815","457","","-6.4","0.2","7.5","3.6","9.2","20.5","3.1","18.5"
"Angels","11535.0","-6","-2","-1","2","-8","-8","4","7","-12","1782","1454",".816","483","","-5.1","4.4","0.9","2.0","7.6","14.9","2.9","14.9"
"Red Sox","11658.0","9","1","1","-5","11","2","-35","3","-11","1702","1405",".826","456","","13.4","11.9","-6.0","-2.3","7.4","11.0","3.6","14.0"
"Padres","11325.0","22","4","0","-3","1","-4","11","-10","16","1731","1377",".796","510","","13.8","-2.4","-1.5","14.9","-1.6","9.4","0.5","11.4"
"Rays","11847.0","8","0","0","0","4","1","16","19","45","1614","1288",".798","551","","5.0","7.3","-1.0","-0.7","-7.4","-1.8","1.0","11.2"
"Marlins","11364.0","-1","-5","0","3","-9","2","12","9","10","1643","1332",".811","498","","-3.9","0.5","1.9","9.5","-5.6","6.3","1.6","7.3"
"Giants","11592.0","10","-1","-1","-8","1","3","26","7","38","1787","1451",".812","498","","4.7","-2.6","-3.8","14.7","1.7","10.0","0.8","7.0"
"Astros","11679.0","-1","-1","-2","-4","-1","20","36","37","78","1560","1271",".815","591","","0.2","1.0","-6.6","13.1","2.6","10.1","1.7","5.1"
"Yankees","11535.0","-1","0","2","2","4","5","-9","-6","-7","1665","1307",".785","566","","-6.5","0.3","1.6","0.9","0.8","3.6","0.8","2.6"
"Twins","11646.0","0","-1","-4","-3","12","1","-8","7","4","1734","1380",".796","578","","2.8","6.1","-0.3","13.5","-20.2","-0.9","0.6","-0.3"
"Dodgers","11634.0","10","1","0","3","8","8","57","44","127","1587","1285",".810","563","","9.6","7.2","-0.2","8.1","-15.5","-0.5","1.7","-1.5"
"Nationals","11361.0","-8","1","-2","-3","7","2","-11","1","-12","1622","1344",".829","512","","-8.0","1.0","-4.0","-6.6","8.2","-1.5","-0.2","-2.5"
"Brewers","11505.0","14","-2","-4","1","-2","6","14","2","22","1614","1286",".797","530","","21.8","1.1","1.8","4.8","-6.6","1.2","0.6","-5.8"
"Rockies","11505.0","-14","0","2","4","-12","3","5","11","6","1825","1454",".797","570","","-10.8","-13.0","0.9","4.1","-4.0","-12.0","-3.9","-7.0"
"Rangers","11583.0","-10","1","-4","-1","-5","-11","-20","10","-41","1890","1511",".800","470","","-10.1","-8.5","1.1","2.6","1.5","-3.3","-1.8","-8.3"
"Blue Jays","11442.0","10","5","3","-2","-1","-1","-27","16","3","1735","1381",".796","549","","9.5","-1.0","-3.0","-20.5","7.5","-17.1","-2.9","-9.1"
"Reds","11487.0","4","0","-4","4","2","4","26","18","49","1624","1289",".794","520","","2.7","-2.7","2.0","-2.7","2.1","-1.4","-0.7","-11.4"
"White Sox","11253.0","-14","2","2","7","-5","-2","-58","12","-55","1704","1350",".792","540","","-15.0","0.0","5.9","-6.8","-12.5","-13.4","-2.0","-12.4"
"Tigers","11361.0","-5","3","0","-3","-14","-6","-38","6","-59","1818","1414",".778","524","","-8.9","-14.6","-1.9","-11.5","4.1","-23.8","-6.5","-23.8"
"Mets","11511.0","-11","-2","-1","3","6","-8","-62","1","-82","1735","1396",".805","459","","-5.7","-1.0","3.8","-19.0","-0.6","-16.8","-2.6","-28.8"
"Mariners","11451.0","-6","-2","0","-4","-1","-11","-52","0","-82","1921","1532",".798","539","","-6.7","-9.2","-2.9","-10.8","-9.3","-32.2","-6.2","-34.2"
"Orioles","11367.0","-19","0","0","7","-15","-11","-42","-8","-91","1752","1415",".808","655","","-15.7","-16.8","4.0","-3.0","-16.1","-31.9","-8.0","-35.9"
"Pirates","11439.0","-9","-3","1","1","-2","-2","-35","3","-46","1721","1352",".786","487","","-8.5","-4.5","1.6","-28.3","-14.9","-46.1","-9.0","-44.1"
