"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Mariners","161","457","27","85","84","14","11.2 %","22.1 %",".272",".302",".278",".367",".550",".388","164","2.0","34.7","-1.4","4.9"
"Dodgers","156","427","24","84","80","1","13.1 %","16.4 %",".281",".316",".307",".403",".587",".414","149","-1.0","27.4","2.9","4.5"
"Yankees","126","358","20","49","47","3","12.8 %","22.9 %",".240",".304",".270",".374",".510",".379","152","-0.5","20.1","-2.5","3.0"
"Cubs","141","378","17","62","60","5","11.9 %","20.1 %",".199",".336",".294",".385",".494",".380","127","-0.2","13.4","1.1","2.7"
"Diamondbacks","138","401","19","61","58","6","6.2 %","21.2 %",".240",".326",".288",".331",".528",".361","114","0.6","7.9","3.1","2.4"
"Phillies","123","313","12","53","51","2","15.0 %","21.1 %",".215",".297",".258",".374",".473",".357","116","-0.2","6.4","3.0","2.0"
"Brewers","140","380","19","53","53","5","11.6 %","22.6 %",".216",".301",".265",".353",".482",".354","109","0.3","5.0","1.6","1.9"
"Astros","132","370","12","33","33","5","9.5 %","19.2 %",".161",".301",".264",".336",".424",".331","121","-1.8","7.0","-0.6","1.9"
"Braves","131","346","11","44","40","4","14.5 %","20.8 %",".170",".303",".256",".369",".426",".346","105","-1.1","1.0","3.2","1.6"
"Athletics","197","483","18","51","50","5","8.7 %","17.6 %",".166",".249",".232",".306",".398",".307","102","0.3","1.4","-2.1","1.5"
"Mets","144","357","11","52","49","4","7.3 %","27.7 %",".168",".358",".270",".340",".438",".337","106","-0.7","2.0","1.1","1.5"
"Rangers","137","367","14","49","48","6","11.2 %","26.4 %",".192",".298",".239",".336",".431",".335","112","-0.7","4.3","-2.6","1.4"
"Twins","118","304","7","35","32","2","7.6 %","20.1 %",".159",".304",".256",".332",".415",".324","111","-0.2","3.3","-0.5","1.3"
"White Sox","121","314","10","43","41","3","8.9 %","22.6 %",".160",".299",".248",".323",".408",".320","111","0.4","4.2","-2.0","1.3"
"Nationals","127","311","11","46","43","8","11.3 %","28.6 %",".177",".315",".242",".340",".419",".331","95","1.0","-1.3","2.2","1.1"
"Pirates","124","317","6","34","34","7","11.0 %","19.6 %",".147",".301",".249",".342",".396",".321","91","0.8","-3.1","3.2","1.1"
"Rays","147","370","8","34","32","10","7.0 %","27.6 %",".119",".306",".231",".293",".350",".283","85","1.8","-4.5","2.1","1.0"
"Red Sox","157","420","11","46","42","7","8.6 %","20.7 %",".140",".280",".238",".306",".378",".298","88","0.7","-5.1","0.1","0.9"
"Cardinals","140","356","15","41","38","4","9.6 %","26.7 %",".201",".273",".227",".309",".428",".318","91","-0.3","-4.8","1.0","0.8"
"Padres","149","362","12","35","35","6","10.2 %","23.8 %",".171",".283",".237",".315",".408",".313","88","0.5","-5.1","1.1","0.8"
"Orioles","135","337","8","36","30","4","7.4 %","25.5 %",".125",".291",".230",".297",".354",".286","83","0.2","-6.1","0.7","0.6"
"Royals","118","293","7","35","33","8","6.5 %","21.2 %",".154",".269",".228",".284",".382",".289","85","0.2","-4.8","-0.6","0.4"
"Angels","144","360","9","32","32","4","8.9 %","16.1 %",".125",".228",".209",".294",".334",".277","84","0.6","-6.0","-2.1","0.4"
"Marlins","151","356","11","33","33","3","6.2 %","21.9 %",".141",".276",".235",".293",".376",".293","78","-0.5","-11.1","1.9","0.2"
"Tigers","133","369","3","27","24","4","11.4 %","26.8 %",".103",".250",".181",".285",".284",".259","64","0.2","-14.6","-0.1","-0.3"
"Blue Jays","154","388","9","29","27","0","8.0 %","28.6 %",".135",".239",".183",".261",".318",".257","63","-0.6","-16.6","-0.9","-0.5"
"Giants","149","349","6","25","25","3","5.2 %","24.1 %",".109",".262",".208",".264",".317",".258","55","0.0","-21.5","2.5","-0.8"
"Indians","135","310","4","30","27","4","10.0 %","31.3 %",".091",".260",".182",".262",".273",".240","46","0.6","-18.0","-1.0","-0.9"
"Rockies","145","370","6","31","30","1","7.6 %","25.1 %",".120",".277",".216",".282",".336",".273","48","-0.9","-27.1","1.9","-1.3"
"Reds","146","313","8","21","21","1","7.0 %","26.8 %",".131",".208",".170",".233",".301",".234","37","-1.2","-28.1","-0.2","-1.8"
