"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Rays","819.0","0","0","2","0","0","2","6","1","12","106","91",".859","35","","0.6","","","","","","","3.0"
"Orioles","711.0","-1","0","2","0","0","-1","-11","-1","-12","108","83",".769","36","","-0.4","","","","","","","2.0"
"Pirates","675.0","0","0","1","0","-1","-2","-1","2","-1","94","77",".819","34","","0.6","","","","","","","1.6"
"Braves","702.0","0","0","1","0","1","0","7","3","12","101","88",".871","30","","0.3","","","","","","","1.3"
"Rockies","792.0","0","0","1","0","0","1","-3","3","2","129","102",".791","40","","-0.2","","","","","","","1.0"
"Phillies","639.0","0","0","1","0","1","-1","-5","-1","-5","97","77",".794","26","","1.2","","","","","","","1.0"
"Cubs","669.0","0","0","1","0","0","0","-1","4","3","106","84",".793","30","","-1.2","","","","","","","1.0"
"Tigers","810.0","0","0","1","0","1","1","5","2","9","107","89",".832","31","","0.1","","","","","","","1.0"
"Blue Jays","885.0","1","1","0","0","0","1","-2","5","6","117","104",".889","32","","0.9","","","","","","","1.0"
"Diamondbacks","810.0","0","0","0","0","-1","-1","7","5","9","117","97",".829","47","","0.9","","","","","","","0.9"
"Cardinals","729.0","0","0","0","0","0","0","1","5","6","108","92",".852","25","","-1.2","","","","","","","0.0"
"Royals","630.0","1","0","0","0","1","1","-6","2","-2","96","79",".823","23","","0.6","","","","","","","0.0"
"Indians","711.0","2","1","0","0","0","1","3","-1","5","91","77",".846","28","","-0.1","","","","","","","0.0"
"Dodgers","846.0","1","1","0","0","2","0","-2","3","5","124","99",".798","36","","0.6","","","","","","","0.0"
"Yankees","729.0","-1","1","0","0","0","-1","-6","0","-7","124","95",".766","29","","-2.8","","","","","","","0.0"
"Giants","765.0","1","0","0","-1","2","0","15","-1","16","115","96",".835","38","","1.9","","","","","","","0.0"
"Astros","765.0","0","1","0","0","0","0","4","2","7","104","84",".808","41","","1.2","","","","","","","0.0"
"Padres","801.0","0","1","0","0","3","1","8","0","13","110","90",".818","37","","-0.7","","","","","","","0.0"
"Nationals","639.0","-1","0","1","0","-2","0","-6","0","-9","94","73",".777","24","","-1.0","","","","","","","0.0"
"Marlins","792.0","0","0","0","0","0","1","1","-2","0","124","96",".774","31","","0.6","","","","","","","0.0"
"Mariners","909.0","-1","-2","0","-2","-2","0","-16","3","-21","173","136",".786","35","","-0.5","","","","","","","0.0"
"Red Sox","825.0","0","-1","0","0","2","0","-3","1","-1","142","123",".866","31","","0.6","","","","","","","0.0"
"Athletics","1059.0","-2","-1","0","2","3","-1","-1","1","2","172","145",".843","36","","-1.4","","","","","","","0.0"
"Twins","639.0","0","0","0","0","1","-2","-3","-1","-5","92","73",".794","29","","-0.6","","","","","","","-0.6"
"White Sox","621.0","0","0","-1","0","-2","2","0","2","1","89","73",".820","31","","-0.2","","","","","","","-1.0"
"Angels","765.0","0","0","-1","0","0","0","4","1","3","107","96",".897","34","","0.2","","","","","","","-1.0"
"Rangers","783.0","0","0","-1","0","0","1","1","-1","0","145","110",".759","31","","-1.0","","","","","","","-1.0"
"Brewers","810.0","1","0","-1","0","-1","1","3","3","6","97","76",".784","31","","0.6","","","","","","","-1.0"
"Mets","723.0","-2","-1","0","0","2","-2","-4","1","-5","100","79",".790","26","","-1.4","","","","","","","-1.4"
"Reds","705.0","1","0","-2","0","-2","1","3","-1","-1","101","83",".822","35","","0.9","","","","","","","-2.0"
